Player Name,Team,Minutes Played,Player Link
Rahsool Diggins,MASSACHUSETTS,967,https://www.espn.com/mens-college-basketball/player/_/id/4683733/rahsool-diggins
Jaylen Curry,MASSACHUSETTS,744,https://www.espn.com/mens-college-basketball/player/_/id/5174611/jaylen-curry
Daniel Rivera,MASSACHUSETTS,792,https://www.espn.com/mens-college-basketball/player/_/id/5105982/daniel-rivera
Daniel Hankins-Sanford,MASSACHUSETTS,555,https://www.espn.com/mens-college-basketball/player/_/id/5105551/daniel-hankins-sanford
Marqui Worthy,MASSACHUSETTS,489,https://www.espn.com/mens-college-basketball/player/_/id/5174613/marqui-worthy
Malek Abdelgowad,MASSACHUSETTS,361,https://www.espn.com/mens-college-basketball/player/_/id/5176382/malek-abdelgowad
Jayden Ndjigue,MASSACHUSETTS,670,https://www.espn.com/mens-college-basketball/player/_/id/5174614/jayden-ndjigue
Shahid Muhammad,MASSACHUSETTS,331,https://www.espn.com/mens-college-basketball/player/_/id/5114231/shahid-muhammad
Akil Watson,MASSACHUSETTS,246,https://www.espn.com/mens-college-basketball/player/_/id/4683783/akil-watson
Tarique Foster,MASSACHUSETTS,166,https://www.espn.com/mens-college-basketball/player/_/id/5174615/tarique-foster
Nate Guerengomba,MASSACHUSETTS,284,https://www.espn.com/mens-college-basketball/player/_/id/5239648/nate-guerengomba
Amadou Doumbia,MASSACHUSETTS,53,https://www.espn.com/mens-college-basketball/player/_/id/5239652/amadou-doumbia
Luka Damjanac,MASSACHUSETTS,42,https://www.espn.com/mens-college-basketball/player/_/id/5239651/luka-damjanac
