Player Name,Team,Minutes Played,Player Link
Alyn Breed,MCNEESE,60,https://www.espn.com/mens-college-basketball/player/_/id/4585590/alyn-breed
Javohn Garcia,MCNEESE,806,https://www.espn.com/mens-college-basketball/player/_/id/4701125/javohn-garcia
Sincere Parker,MCNEESE,529,https://www.espn.com/mens-college-basketball/player/_/id/5105984/sincere-parker
Christian Shumate,MCNEESE,779,https://www.espn.com/mens-college-basketball/player/_/id/4701228/christian-shumate
DJ Richards Jr.,MCNEESE,635,https://www.espn.com/mens-college-basketball/player/_/id/5106843/dj-richards-jr
Joe Charles,MCNEESE,759,https://www.espn.com/mens-college-basketball/player/_/id/4708075/joe-charles
Quadir Copeland,MCNEESE,589,https://www.espn.com/mens-college-basketball/player/_/id/4683860/quadir-copeland
Brandon Murray,MCNEESE,567,https://www.espn.com/mens-college-basketball/player/_/id/4684166/brandon-murray
T'Johnn Brown,MCNEESE,246,https://www.espn.com/mens-college-basketball/player/_/id/4845366/tjohnn-brown
Bryant Selebangue,MCNEESE,421,https://www.espn.com/mens-college-basketball/player/_/id/5106643/bryant-selebangue
Omar Cooper,MCNEESE,186,https://www.espn.com/mens-college-basketball/player/_/id/5176641/omar-cooper
Lamont Evans IV,MCNEESE,13,https://www.espn.com/mens-college-basketball/player/_/id/4897130/lamont-evans-iv
Erik Villarreal,MCNEESE,13,https://www.espn.com/mens-college-basketball/player/_/id/5242577/erik-villarreal
