Player Name,Team,Minutes Played,Player Link
PJ Haggerty,MEMPHIS,954,https://www.espn.com/mens-college-basketball/player/_/id/5106275/pj-haggerty
Tyrese Hunter,MEMPHIS,869,https://www.espn.com/mens-college-basketball/player/_/id/4683751/tyrese-hunter
Dain Dainja,MEMPHIS,650,https://www.espn.com/mens-college-basketball/player/_/id/4432189/dain-dainja
Colby Rogers,MEMPHIS,794,https://www.espn.com/mens-college-basketball/player/_/id/4592921/colby-rogers
Nicholas Jourdain,MEMPHIS,698,https://www.espn.com/mens-college-basketball/player/_/id/4701221/nicholas-jourdain
Moussa Cisse,MEMPHIS,477,https://www.espn.com/mens-college-basketball/player/_/id/4701208/moussa-cisse
PJ Carter,MEMPHIS,376,https://www.espn.com/mens-college-basketball/player/_/id/4702000/pj-carter
Dante Harris,MEMPHIS,164,https://www.espn.com/mens-college-basketball/player/_/id/4596531/dante-harris
Baraka Okojie,MEMPHIS,229,https://www.espn.com/mens-college-basketball/player/_/id/5174594/baraka-okojie
Damarien Yates,MEMPHIS,22,https://www.espn.com/mens-college-basketball/player/_/id/5240279/damarien-yates
Jared Harris,MEMPHIS,43,https://www.espn.com/mens-college-basketball/player/_/id/5060710/jared-harris
