Player Name,Team,Minutes Played,Player Link
Matthew Cleveland,MIAMI,772,https://www.espn.com/mens-college-basketball/player/_/id/4897007/matthew-cleveland
Nijel Pack,MIAMI,279,https://www.espn.com/mens-college-basketball/player/_/id/4576062/nijel-pack
Lynn Kidd,MIAMI,752,https://www.espn.com/mens-college-basketball/player/_/id/4701224/lynn-kidd
Brandon Johnson,MIAMI,801,https://www.espn.com/mens-college-basketball/player/_/id/4897055/brandon-johnson
A.J. Staton-McCray,MIAMI,578,https://www.espn.com/mens-college-basketball/player/_/id/4703837/aj-staton-mccray
Jalen Blackmon,MIAMI,363,https://www.espn.com/mens-college-basketball/player/_/id/4683853/jalen-blackmon
Jalil Bethea,MIAMI,492,https://www.espn.com/mens-college-basketball/player/_/id/5101656/jalil-bethea
Paul Djobet,MIAMI,417,https://www.espn.com/mens-college-basketball/player/_/id/5095063/paul-djobet
Divine Ugochukwu,MIAMI,447,https://www.espn.com/mens-college-basketball/player/_/id/5060733/divine-ugochukwu
Austin Swartz,MIAMI,422,https://www.espn.com/mens-college-basketball/player/_/id/5144380/austin-swartz
Kiree Huie,MIAMI,69,https://www.espn.com/mens-college-basketball/player/_/id/5176321/kiree-huie
Isaiah Johnson-Arigu,MIAMI,43,https://www.espn.com/mens-college-basketball/player/_/id/5171688/isaiah-johnson-arigu
Yussif Basa-Ama,MIAMI,14,https://www.espn.com/mens-college-basketball/player/_/id/4898247/yussif-basa-ama
