Player Name,Team,Minutes Played,Player Link
Jaden Akins,MICHIGAN STATE,710,https://www.espn.com/mens-college-basketball/player/_/id/4683730/jaden-akins
Jase Richardson,MICHIGAN STATE,609,https://www.espn.com/mens-college-basketball/player/_/id/5239561/jase-richardson
Tre Holloman,MICHIGAN STATE,623,https://www.espn.com/mens-college-basketball/player/_/id/5105816/tre-holloman
Coen Carr,MICHIGAN STATE,550,https://www.espn.com/mens-college-basketball/player/_/id/4872740/coen-carr
Jaxon Kohler,MICHIGAN STATE,548,https://www.espn.com/mens-college-basketball/player/_/id/5105815/jaxon-kohler
Frankie Fidler,MICHIGAN STATE,465,https://www.espn.com/mens-college-basketball/player/_/id/4897263/frankie-fidler
Jeremy Fears Jr.,MICHIGAN STATE,607,https://www.espn.com/mens-college-basketball/player/_/id/4711255/jeremy-fears-jr
Xavier Booker,MICHIGAN STATE,380,https://www.espn.com/mens-college-basketball/player/_/id/4711304/xavier-booker
Carson Cooper,MICHIGAN STATE,439,https://www.espn.com/mens-college-basketball/player/_/id/5105817/carson-cooper
Szymon Zapala,MICHIGAN STATE,406,https://www.espn.com/mens-college-basketball/player/_/id/4701993/szymon-zapala
Nick Sanders,MICHIGAN STATE,12,https://www.espn.com/mens-college-basketball/player/_/id/5105818/nick-sanders
Gehrig Normand,MICHIGAN STATE,24,https://www.espn.com/mens-college-basketball/player/_/id/5086370/gehrig-normand
Kur Teng,MICHIGAN STATE,51,https://www.espn.com/mens-college-basketball/player/_/id/4873111/kur-teng
