Player Name,Team,Minutes Played,Player Link
Vladislav Goldin,MICHIGAN,678,https://www.espn.com/mens-college-basketball/player/_/id/4700818/vladislav-goldin
Danny Wolf,MICHIGAN,776,https://www.espn.com/mens-college-basketball/player/_/id/5107173/danny-wolf
Tre Donaldson,MICHIGAN,803,https://www.espn.com/mens-college-basketball/player/_/id/4837356/tre-donaldson
Roddy Gayle Jr.,MICHIGAN,688,https://www.espn.com/mens-college-basketball/player/_/id/5105836/roddy-gayle-jr
Nimari Burnett,MICHIGAN,693,https://www.espn.com/mens-college-basketball/player/_/id/4433138/nimari-burnett
Will Tschetter,MICHIGAN,393,https://www.espn.com/mens-college-basketball/player/_/id/4684596/will-tschetter
Sam Walters,MICHIGAN,291,https://www.espn.com/mens-college-basketball/player/_/id/4683781/sam-walters
L.J. Cason,MICHIGAN,183,https://www.espn.com/mens-college-basketball/player/_/id/5214641/lj-cason
Rubin Jones,MICHIGAN,501,https://www.espn.com/mens-college-basketball/player/_/id/4432430/rubin-jones
Justin Pippen,MICHIGAN,158,https://www.espn.com/mens-college-basketball/player/_/id/5196370/justin-pippen
Harrison Hochberg,MICHIGAN,7,https://www.espn.com/mens-college-basketball/player/_/id/5174787/harrison-hochberg
Phat Phat Brooks,MICHIGAN,42,https://www.espn.com/mens-college-basketball/player/_/id/5239560/phat-phat-brooks
Jace Howard,MICHIGAN,20,https://www.espn.com/mens-college-basketball/player/_/id/4611541/jace-howard
Ian Burns,MICHIGAN,7,https://www.espn.com/mens-college-basketball/player/_/id/4897424/ian-burns
Charlie May,MICHIGAN,5,https://www.espn.com/mens-college-basketball/player/_/id/5106648/charlie-may
Howard Eisley Jr.,MICHIGAN,4,https://www.espn.com/mens-college-basketball/player/_/id/5239559/howard-eisley-jr
