Player Name,Team,Minutes Played,Player Link
Jestin Porter,MIDDLE TENNESSEE,915,https://www.espn.com/mens-college-basketball/player/_/id/5106880/jestin-porter
Essam Mostafa,MIDDLE TENNESSEE,689,https://www.espn.com/mens-college-basketball/player/_/id/4433052/essam-mostafa
Camryn Weston,MIDDLE TENNESSEE,716,https://www.espn.com/mens-college-basketball/player/_/id/4897511/camryn-weston
Jlynn Counter,MIDDLE TENNESSEE,665,https://www.espn.com/mens-college-basketball/player/_/id/5106754/jlynn-counter
Kamari Lands,MIDDLE TENNESSEE,306,https://www.espn.com/mens-college-basketball/player/_/id/4610140/kamari-lands
Torey Alston,MIDDLE TENNESSEE,554,https://www.espn.com/mens-college-basketball/player/_/id/5176763/torey-alston
Justin Bufford,MIDDLE TENNESSEE,643,https://www.espn.com/mens-college-basketball/player/_/id/4897508/justin-bufford
Tre Green,MIDDLE TENNESSEE,313,https://www.espn.com/mens-college-basketball/player/_/id/5106881/tre-green
Chris Loofe,MIDDLE TENNESSEE,365,https://www.espn.com/mens-college-basketball/player/_/id/5176765/chris-loofe
Jarred Hall,MIDDLE TENNESSEE,15,https://www.espn.com/mens-college-basketball/player/_/id/4848642/jarred-hall
Alec Oglesby,MIDDLE TENNESSEE,29,https://www.espn.com/mens-college-basketball/player/_/id/4702696/alec-oglesby
Christian Fussell,MIDDLE TENNESSEE,27,https://www.espn.com/mens-college-basketball/player/_/id/4590357/christian-fussell
Jacob Johnson,MIDDLE TENNESSEE,167,https://www.espn.com/mens-college-basketball/player/_/id/4593970/jacob-johnson
Isiah Lightsy,MIDDLE TENNESSEE,10,https://www.espn.com/mens-college-basketball/player/_/id/5106883/isiah-lightsy
Jack Jubenville,MIDDLE TENNESSEE,11,https://www.espn.com/mens-college-basketball/player/_/id/4911126/jack-jubenville
