Player Name,Team,Minutes Played,Player Link
Themus Fulks,MILWAUKEE,957,https://www.espn.com/mens-college-basketball/player/_/id/4704078/themus-fulks
Jamichael Stillwell,MILWAUKEE,751,https://www.espn.com/mens-college-basketball/player/_/id/5241667/jamichael-stillwell
Kentrell Pullian,MILWAUKEE,768,https://www.espn.com/mens-college-basketball/player/_/id/5106770/kentrell-pullian
AJ McKee,MILWAUKEE,840,https://www.espn.com/mens-college-basketball/player/_/id/4706601/aj-mckee
Erik Pratt,MILWAUKEE,449,https://www.espn.com/mens-college-basketball/player/_/id/5105560/erik-pratt
Faizon Fields,MILWAUKEE,306,https://www.espn.com/mens-college-basketball/player/_/id/5106461/faizon-fields
Danilo Jovanovich,MILWAUKEE,246,https://www.espn.com/mens-college-basketball/player/_/id/4838711/danilo-jovanovich
John Lovelace Jr.,MILWAUKEE,400,https://www.espn.com/mens-college-basketball/player/_/id/5106810/john-lovelace-jr
Aaron Franklin,MILWAUKEE,252,https://www.espn.com/mens-college-basketball/player/_/id/5176835/aaron-franklin
Darius Duffy,MILWAUKEE,470,https://www.espn.com/mens-college-basketball/player/_/id/5176836/darius-duffy
Learic Davis,MILWAUKEE,86,https://www.espn.com/mens-college-basketball/player/_/id/5108806/learic-davis
Esyah Pippa-White,MILWAUKEE,108,https://www.espn.com/mens-college-basketball/player/_/id/5241668/esyah-pippa-white
Maurice Thomas,MILWAUKEE,8,https://www.espn.com/mens-college-basketball/player/_/id/5176834/maurice-thomas
Austin Villarreal,MILWAUKEE,5,https://www.espn.com/mens-college-basketball/player/_/id/5241671/austin-villarreal
Vinko Polovic,MILWAUKEE,4,https://www.espn.com/mens-college-basketball/player/_/id/5106771/vinko-polovic
