Player Name,Team,Minutes Played,Player Link
Dawson Garcia,MINNESOTA,954,https://www.espn.com/mens-college-basketball/player/_/id/4432188/dawson-garcia
Lu'Cye Patterson,MINNESOTA,906,https://www.espn.com/mens-college-basketball/player/_/id/4703979/lucye-patterson
Mike Mitchell Jr.,MINNESOTA,629,https://www.espn.com/mens-college-basketball/player/_/id/4897176/mike-mitchell-jr
Femi Odukale,MINNESOTA,780,https://www.espn.com/mens-college-basketball/player/_/id/4701839/femi-odukale
Parker Fox,MINNESOTA,526,https://www.espn.com/mens-college-basketball/player/_/id/4897429/parker-fox
Isaac Asuma,MINNESOTA,669,https://www.espn.com/mens-college-basketball/player/_/id/5144165/isaac-asuma
Brennan Rigsby,MINNESOTA,377,https://www.espn.com/mens-college-basketball/player/_/id/5105622/brennan-rigsby
Frank Mitchell,MINNESOTA,343,https://www.espn.com/mens-college-basketball/player/_/id/5107180/frank-mitchell
Trey Edmonds,MINNESOTA,199,https://www.espn.com/mens-college-basketball/player/_/id/4896871/trey-edmonds
Caleb Williams,MINNESOTA,16,https://www.espn.com/mens-college-basketball/player/_/id/5239568/caleb-williams
Kadyn Betts,MINNESOTA,100,https://www.espn.com/mens-college-basketball/player/_/id/5105819/kadyn-betts
Lincoln Meister,MINNESOTA,1,https://www.espn.com/mens-college-basketball/player/_/id/4909965/lincoln-meister
Erick Reader,MINNESOTA,1,https://www.espn.com/mens-college-basketball/player/_/id/5114325/erick-reader
Max Sheridan,MINNESOTA,1,https://www.espn.com/mens-college-basketball/player/_/id/5239569/max-sheridan
