Player Name,Team,Minutes Played,Player Link
Josh Hubbard,MISSISSIPPI STATE,883,https://www.espn.com/mens-college-basketball/player/_/id/4895740/josh-hubbard
KeShawn Murphy,MISSISSIPPI STATE,645,https://www.espn.com/mens-college-basketball/player/_/id/4683756/keshawn-murphy
Claudell Harris Jr.,MISSISSIPPI STATE,644,https://www.espn.com/mens-college-basketball/player/_/id/4896985/claudell-harris-jr
Riley Kugel,MISSISSIPPI STATE,561,https://www.espn.com/mens-college-basketball/player/_/id/5105529/riley-kugel
RJ Melendez,MISSISSIPPI STATE,601,https://www.espn.com/mens-college-basketball/player/_/id/4683738/rj-melendez
Cameron Matthews,MISSISSIPPI STATE,772,https://www.espn.com/mens-college-basketball/player/_/id/4432394/cameron-matthews
Michael Nwoko,MISSISSIPPI STATE,428,https://www.espn.com/mens-college-basketball/player/_/id/4895795/michael-nwoko
Kanye Clary,MISSISSIPPI STATE,131,https://www.espn.com/mens-college-basketball/player/_/id/5105844/kanye-clary
Shawn Jones Jr.,MISSISSIPPI STATE,511,https://www.espn.com/mens-college-basketball/player/_/id/5105540/shawn-jones-jr
Martavious Russell,MISSISSIPPI STATE,43,https://www.espn.com/mens-college-basketball/player/_/id/5105539/martavious-russell
Gai Chol,MISSISSIPPI STATE,62,https://www.espn.com/mens-college-basketball/player/_/id/4685688/gai-chol
Jeremy Foumena,MISSISSIPPI STATE,23,https://www.espn.com/mens-college-basketball/player/_/id/5105970/jeremy-foumena
Dellquan Warren,MISSISSIPPI STATE,121,https://www.espn.com/mens-college-basketball/player/_/id/4873112/dellquan-warren
Harrison Alexander,MISSISSIPPI STATE,20,https://www.espn.com/mens-college-basketball/player/_/id/5174316/harrison-alexander
Trey Jackson III,MISSISSIPPI STATE,7,https://www.espn.com/mens-college-basketball/player/_/id/5174318/trey-jackson-iii
