Player Name,Team,Minutes Played,Player Link
Arthur Tate,MISSISSIPPI VALLEY STATE,655,https://www.espn.com/mens-college-basketball/player/_/id/5243349/arthur-tate
Alvin Stredic,MISSISSIPPI VALLEY STATE,751,https://www.espn.com/mens-college-basketball/player/_/id/4594058/alvin-stredic
Donovan Sanders,MISSISSIPPI VALLEY STATE,798,https://www.espn.com/mens-college-basketball/player/_/id/5177588/donovan-sanders
Jair Horton,MISSISSIPPI VALLEY STATE,484,https://www.espn.com/mens-college-basketball/player/_/id/5243352/jair-horton
Antonio Sisk,MISSISSIPPI VALLEY STATE,570,https://www.espn.com/mens-college-basketball/player/_/id/5243350/antonio-sisk
Walter Hamilton,MISSISSIPPI VALLEY STATE,203,https://www.espn.com/mens-college-basketball/player/_/id/5108866/walter-hamilton
Greg Moore,MISSISSIPPI VALLEY STATE,271,https://www.espn.com/mens-college-basketball/player/_/id/5243351/greg-moore
Kendal Parker,MISSISSIPPI VALLEY STATE,180,https://www.espn.com/mens-college-basketball/player/_/id/5107439/kendal-parker
Moses Horne,MISSISSIPPI VALLEY STATE,181,https://www.espn.com/mens-college-basketball/player/_/id/5243354/moses-horne
Raeshun McGregory,MISSISSIPPI VALLEY STATE,246,https://www.espn.com/mens-college-basketball/player/_/id/5246573/raeshun-mcgregory
Daniel Umoh,MISSISSIPPI VALLEY STATE,243,https://www.espn.com/mens-college-basketball/player/_/id/4899810/daniel-umoh
Darrion Salery,MISSISSIPPI VALLEY STATE,136,https://www.espn.com/mens-college-basketball/player/_/id/5243353/darrion-salery
George Ivory III,MISSISSIPPI VALLEY STATE,355,https://www.espn.com/mens-college-basketball/player/_/id/4703150/george-ivory-iii
Jonathan Pace,MISSISSIPPI VALLEY STATE,98,https://www.espn.com/mens-college-basketball/player/_/id/5243355/jonathan-pace
Markell Petro,MISSISSIPPI VALLEY STATE,229,https://www.espn.com/mens-college-basketball/player/_/id/5177591/markell-petro
Jadarius Townes,MISSISSIPPI VALLEY STATE,1,https://www.espn.com/mens-college-basketball/player/_/id/5268609/jadarius-townes
