Player Name,Team,Minutes Played,Player Link
Dez White,MISSOURI STATE,956,https://www.espn.com/mens-college-basketball/player/_/id/5175842/dez-white
Vincent Brady II,MISSOURI STATE,868,https://www.espn.com/mens-college-basketball/player/_/id/5106755/vincent-brady-ii
Michael Osei-Bonsu,MISSOURI STATE,808,https://www.espn.com/mens-college-basketball/player/_/id/5241397/michael-osei-bonsu
Zaxton King,MISSOURI STATE,891,https://www.espn.com/mens-college-basketball/player/_/id/5241395/zaxton-king
Jalen Hampton,MISSOURI STATE,625,https://www.espn.com/mens-college-basketball/player/_/id/5241394/jalen-hampton
Chase Martin,MISSOURI STATE,663,https://www.espn.com/mens-college-basketball/player/_/id/4702334/chase-martin
Makhai Valentine,MISSOURI STATE,63,https://www.espn.com/mens-college-basketball/player/_/id/5241390/makhai-valentine
Wesley Oba,MISSOURI STATE,426,https://www.espn.com/mens-college-basketball/player/_/id/5176276/wesley-oba
Logan Epes,MISSOURI STATE,231,https://www.espn.com/mens-college-basketball/player/_/id/5241391/logan-epes
Jurrell Baldwin,MISSOURI STATE,2,https://www.espn.com/mens-college-basketball/player/_/id/5241392/jurrell-baldwin
Mozae Downing-Rivers,MISSOURI STATE,277,https://www.espn.com/mens-college-basketball/player/_/id/5241389/mozae-downing-rivers
Tommy Pinegar,MISSOURI STATE,7,https://www.espn.com/mens-college-basketball/player/_/id/5107901/tommy-pinegar
Allen Udemadu,MISSOURI STATE,107,https://www.espn.com/mens-college-basketball/player/_/id/5176296/allen-udemadu
Sam Murray II,MISSOURI STATE,22,https://www.espn.com/mens-college-basketball/player/_/id/5107896/sam-murray-ii
