Player Name,Team,Minutes Played,Player Link
Mark Mitchell,MISSOURI,739,https://www.espn.com/mens-college-basketball/player/_/id/4433285/mark-mitchell
Caleb Grill,MISSOURI,540,https://www.espn.com/mens-college-basketball/player/_/id/4431973/caleb-grill
Tamar Bates,MISSOURI,691,https://www.espn.com/mens-college-basketball/player/_/id/4683933/tamar-bates
Anthony Robinson II,MISSOURI,599,https://www.espn.com/mens-college-basketball/player/_/id/5054085/anthony-robinson-ii
Tony Perkins,MISSOURI,582,https://www.espn.com/mens-college-basketball/player/_/id/4433130/tony-perkins
Trent Pierce,MISSOURI,447,https://www.espn.com/mens-college-basketball/player/_/id/5037881/trent-pierce
Marques Warrick,MISSOURI,363,https://www.espn.com/mens-college-basketball/player/_/id/4702714/marques-warrick
Jacob Crews,MISSOURI,313,https://www.espn.com/mens-college-basketball/player/_/id/4432515/jacob-crews
Josh Gray,MISSOURI,402,https://www.espn.com/mens-college-basketball/player/_/id/4706679/josh-gray
Marcus Allen,MISSOURI,229,https://www.espn.com/mens-college-basketball/player/_/id/4869762/marcus-allen
Aidan Shaw,MISSOURI,225,https://www.espn.com/mens-college-basketball/player/_/id/5105543/aidan-shaw
Annor Boateng,MISSOURI,98,https://www.espn.com/mens-college-basketball/player/_/id/5238218/annor-boateng
T.O. Barrett,MISSOURI,77,https://www.espn.com/mens-college-basketball/player/_/id/5144166/to-barrett
Peyton Marshall,MISSOURI,89,https://www.espn.com/mens-college-basketball/player/_/id/5061592/peyton-marshall
JV Brown,MISSOURI,3,https://www.espn.com/mens-college-basketball/player/_/id/5174299/jv-brown
Jeremy Sanchez,MISSOURI,3,https://www.espn.com/mens-college-basketball/player/_/id/5238219/jeremy-sanchez
