Player Name,Team,Minutes Played,Player Link
Abdi Bashir Jr.,MONMOUTH,922,https://www.espn.com/mens-college-basketball/player/_/id/5174959/abdi-bashir-jr
Madison Durr,MONMOUTH,892,https://www.espn.com/mens-college-basketball/player/_/id/5107358/madison-durr
Jack Collins,MONMOUTH,998,https://www.espn.com/mens-college-basketball/player/_/id/5106703/jack-collins
Cornelius Robinson III,MONMOUTH,650,https://www.espn.com/mens-college-basketball/player/_/id/5174962/cornelius-robinson-iii
Jaret Valencia,MONMOUTH,495,https://www.espn.com/mens-college-basketball/player/_/id/5106701/jaret-valencia
Dok Muordar,MONMOUTH,382,https://www.espn.com/mens-college-basketball/player/_/id/5107158/dok-muordar
Justin Ray,MONMOUTH,256,https://www.espn.com/mens-college-basketball/player/_/id/5242598/justin-ray
Andrew Ball,MONMOUTH,324,https://www.espn.com/mens-college-basketball/player/_/id/5106702/andrew-ball
Chris Morgan,MONMOUTH,250,https://www.espn.com/mens-college-basketball/player/_/id/4897522/chris-morgan
Aric Demings,MONMOUTH,211,https://www.espn.com/mens-college-basketball/player/_/id/5176644/aric-demings
Jordan Meka,MONMOUTH,162,https://www.espn.com/mens-college-basketball/player/_/id/4432485/jordan-meka
Lucas Orchard,MONMOUTH,25,https://www.espn.com/mens-college-basketball/player/_/id/5242599/lucas-orchard
Corey Miller,MONMOUTH,22,https://www.espn.com/mens-college-basketball/player/_/id/5174960/corey-miller
Jack Leahy,MONMOUTH,18,https://www.espn.com/mens-college-basketball/player/_/id/5174961/jack-leahy
Sam Fagan,MONMOUTH,20,https://www.espn.com/mens-college-basketball/player/_/id/4896386/sam-fagan
Quinn Peters,MONMOUTH,19,https://www.espn.com/mens-college-basketball/player/_/id/5174963/quinn-peters
Christopher Green,MONMOUTH,1,https://www.espn.com/mens-college-basketball/player/_/id/5247048/christopher-green
