Player Name,Team,Minutes Played,Player Link
Brandon Walker,MONTANA STATE,595,https://www.espn.com/mens-college-basketball/player/_/id/5105487/brandon-walker
Max Agbonkpolo,MONTANA STATE,732,https://www.espn.com/mens-college-basketball/player/_/id/4431700/max-agbonkpolo
Patrick McMahon,MONTANA STATE,655,https://www.espn.com/mens-college-basketball/player/_/id/4897923/patrick-mcmahon
Jabe Mullins,MONTANA STATE,736,https://www.espn.com/mens-college-basketball/player/_/id/4701181/jabe-mullins
Tyler Patterson,MONTANA STATE,634,https://www.espn.com/mens-college-basketball/player/_/id/4702074/tyler-patterson
Brian Goracke,MONTANA STATE,416,https://www.espn.com/mens-college-basketball/player/_/id/5175378/brian-goracke
Bryce Zephir,MONTANA STATE,458,https://www.espn.com/mens-college-basketball/player/_/id/4897519/bryce-zephir
Sam Lecholat,MONTANA STATE,463,https://www.espn.com/mens-college-basketball/player/_/id/4897926/sam-lecholat
Jed Miller,MONTANA STATE,480,https://www.espn.com/mens-college-basketball/player/_/id/5107844/jed-miller
Jeremiah Davis,MONTANA STATE,57,https://www.espn.com/mens-college-basketball/player/_/id/5241290/jeremiah-davis
BJ Kolly,MONTANA STATE,203,https://www.espn.com/mens-college-basketball/player/_/id/5241291/bj-kolly
Chika Nduka,MONTANA STATE,193,https://www.espn.com/mens-college-basketball/player/_/id/4897190/chika-nduka
Calum Rutherfurd,MONTANA STATE,4,https://www.espn.com/mens-college-basketball/player/_/id/5175379/calum-rutherfurd
Grayson Gaddis,MONTANA STATE,1,https://www.espn.com/mens-college-basketball/player/_/id/5241294/grayson-gaddis
