Player Name,Team,Minutes Played,Player Link
Malik Moore,MONTANA,720,https://www.espn.com/mens-college-basketball/player/_/id/5105454/malik-moore
Money Williams,MONTANA,752,https://www.espn.com/mens-college-basketball/player/_/id/5177694/money-williams
Joe Pridgen,MONTANA,770,https://www.espn.com/mens-college-basketball/player/_/id/4432092/joe-pridgen
Kai Johnson,MONTANA,689,https://www.espn.com/mens-college-basketball/player/_/id/5241287/kai-johnson
Te'Jon Sawyer,MONTANA,605,https://www.espn.com/mens-college-basketball/player/_/id/4702042/tejon-sawyer
Brandon Whitney,MONTANA,806,https://www.espn.com/mens-college-basketball/player/_/id/4585617/brandon-whitney
Austin Patterson,MONTANA,526,https://www.espn.com/mens-college-basketball/player/_/id/4710625/austin-patterson
Jensen Bradtke,MONTANA,231,https://www.espn.com/mens-college-basketball/player/_/id/5176482/jensen-bradtke
Jeremiah Dargan,MONTANA,65,https://www.espn.com/mens-college-basketball/player/_/id/5241289/jeremiah-dargan
Zack Davidson,MONTANA,102,https://www.espn.com/mens-college-basketball/player/_/id/5177696/zack-davidson
Amari Jedkins,MONTANA,235,https://www.espn.com/mens-college-basketball/player/_/id/5106752/amari-jedkins
Jalen Foy,MONTANA,83,https://www.espn.com/mens-college-basketball/player/_/id/5241288/jalen-foy
Adam Shoff,MONTANA,18,https://www.espn.com/mens-college-basketball/player/_/id/5177697/adam-shoff
