Player Name,Team,Minutes Played,Player Link
Kenny White Jr.,MOREHEAD STATE,836,https://www.espn.com/mens-college-basketball/player/_/id/4703423/kenny-white-jr
Jerone Morton,MOREHEAD STATE,673,https://www.espn.com/mens-college-basketball/player/_/id/5177358/jerone-morton
Tyler Brelsford,MOREHEAD STATE,816,https://www.espn.com/mens-college-basketball/player/_/id/4606833/tyler-brelsford
George Marshall,MOREHEAD STATE,570,https://www.espn.com/mens-college-basketball/player/_/id/5177360/george-marshall
Anouar Mellouk,MOREHEAD STATE,559,https://www.espn.com/mens-college-basketball/player/_/id/4897051/anouar-mellouk
Dieonte Miles,MOREHEAD STATE,453,https://www.espn.com/mens-college-basketball/player/_/id/4431781/dieonte-miles
Steven Clay,MOREHEAD STATE,385,https://www.espn.com/mens-college-basketball/player/_/id/5107877/steven-clay
Kade Ruegsegger,MOREHEAD STATE,574,https://www.espn.com/mens-college-basketball/player/_/id/5242549/kade-ruegsegger
Khouri Carvey,MOREHEAD STATE,217,https://www.espn.com/mens-college-basketball/player/_/id/5242551/khouri-carvey
Jalen Breazeale,MOREHEAD STATE,359,https://www.espn.com/mens-college-basketball/player/_/id/4897648/jalen-breazeale
Jalen Windham,MOREHEAD STATE,34,https://www.espn.com/mens-college-basketball/player/_/id/4433123/jalen-windham
Trent Scott,MOREHEAD STATE,301,https://www.espn.com/mens-college-basketball/player/_/id/5107667/trent-scott
Jaden Webb,MOREHEAD STATE,49,https://www.espn.com/mens-college-basketball/player/_/id/5177361/jaden-webb
