Player Name,Team,Minutes Played,Player Link
Austin Benigni,NAVY,924,https://www.espn.com/mens-college-basketball/player/_/id/5105691/austin-benigni
Jordan Pennick,NAVY,750,https://www.espn.com/mens-college-basketball/player/_/id/5176091/jordan-pennick
Aidan Kehoe,NAVY,856,https://www.espn.com/mens-college-basketball/player/_/id/5105698/aidan-kehoe
Donovan Draper,NAVY,751,https://www.espn.com/mens-college-basketball/player/_/id/5176087/donovan-draper
Jinwoo Kim,NAVY,692,https://www.espn.com/mens-college-basketball/player/_/id/5176086/jinwoo-kim
Lysander Rehnstrom,NAVY,372,https://www.espn.com/mens-college-basketball/player/_/id/4706707/lysander-rehnstrom
Jack Medalie,NAVY,142,https://www.espn.com/mens-college-basketball/player/_/id/5176089/jack-medalie
Sam Krist,NAVY,121,https://www.espn.com/mens-college-basketball/player/_/id/5105695/sam-krist
Cam Cole,NAVY,235,https://www.espn.com/mens-college-basketball/player/_/id/5176084/cam-cole
Mike Woods,NAVY,302,https://www.espn.com/mens-college-basketball/player/_/id/5105694/mike-woods
Carnegie Johnson,NAVY,231,https://www.espn.com/mens-college-basketball/player/_/id/5176088/carnegie-johnson
Julian Gabbidon,NAVY,1,https://www.espn.com/mens-college-basketball/player/_/id/5176093/julian-gabbidon
Davyn de Jongh,NAVY,4,https://www.espn.com/mens-college-basketball/player/_/id/5242957/davyn-de-jongh
David Burnett,NAVY,30,https://www.espn.com/mens-college-basketball/player/_/id/5242959/david-burnett
Mitch Fischer,NAVY,160,https://www.espn.com/mens-college-basketball/player/_/id/4897885/mitch-fischer
Cooper Jackson,NAVY,13,https://www.espn.com/mens-college-basketball/player/_/id/5242961/cooper-jackson
Cam Cormany,NAVY,5,https://www.espn.com/mens-college-basketball/player/_/id/5105693/cam-cormany
Nyles Howard,NAVY,6,https://www.espn.com/mens-college-basketball/player/_/id/5176094/nyles-howard
Jackson Noble,NAVY,3,https://www.espn.com/mens-college-basketball/player/_/id/5176095/jackson-noble
Owen Gray,NAVY,1,https://www.espn.com/mens-college-basketball/player/_/id/5242962/owen-gray
