Player Name,Team,Minutes Played,Player Link
Nick Davidson,NEVADA,882,https://www.espn.com/mens-college-basketball/player/_/id/4699440/nick-davidson
Kobe Sanders,NEVADA,834,https://www.espn.com/mens-college-basketball/player/_/id/4702352/kobe-sanders
Justin McBride,NEVADA,492,https://www.espn.com/mens-college-basketball/player/_/id/4685664/justin-mcbride
Xavier DuSell,NEVADA,580,https://www.espn.com/mens-college-basketball/player/_/id/4703394/xavier-dusell
Tre Coleman,NEVADA,680,https://www.espn.com/mens-college-basketball/player/_/id/4433217/tre-coleman
Tyler Rolison,NEVADA,543,https://www.espn.com/mens-college-basketball/player/_/id/4845370/tyler-rolison
Brandon Love,NEVADA,421,https://www.espn.com/mens-college-basketball/player/_/id/4897159/brandon-love
K.J. Hymes,NEVADA,333,https://www.espn.com/mens-college-basketball/player/_/id/4397343/kj-hymes
Daniel Foster,NEVADA,395,https://www.espn.com/mens-college-basketball/player/_/id/4702876/daniel-foster
Chuck Bailey III,NEVADA,265,https://www.espn.com/mens-college-basketball/player/_/id/5177732/chuck-bailey-iii
Jeriah Coleman,NEVADA,19,https://www.espn.com/mens-college-basketball/player/_/id/4703196/jeriah-coleman
Jordan Malmlov,NEVADA,6,https://www.espn.com/mens-college-basketball/player/_/id/5241242/jordan-malmlov
