Player Name,Team,Minutes Played,Player Link
Christian Cook,NEW MEXICO STATE,823,https://www.espn.com/mens-college-basketball/player/_/id/4741646/christian-cook
Peter Filipovity,NEW MEXICO STATE,622,https://www.espn.com/mens-college-basketball/player/_/id/4897167/peter-filipovity
Zawdie Jackson,NEW MEXICO STATE,723,https://www.espn.com/mens-college-basketball/player/_/id/5242602/zawdie-jackson
Robert Carpenter,NEW MEXICO STATE,587,https://www.espn.com/mens-college-basketball/player/_/id/4592486/robert-carpenter
Dionte Bostick,NEW MEXICO STATE,625,https://www.espn.com/mens-college-basketball/player/_/id/4703262/dionte-bostick
Jaden Harris,NEW MEXICO STATE,479,https://www.espn.com/mens-college-basketball/player/_/id/5176770/jaden-harris
Emmanuel Tshimanga,NEW MEXICO STATE,395,https://www.espn.com/mens-college-basketball/player/_/id/4592961/emmanuel-tshimanga
Gabe Pickens,NEW MEXICO STATE,255,https://www.espn.com/mens-college-basketball/player/_/id/5242601/gabe-pickens
Nate Tshimanga,NEW MEXICO STATE,233,https://www.espn.com/mens-college-basketball/player/_/id/4709322/nate-tshimanga
Carl Cherenfant,NEW MEXICO STATE,206,https://www.espn.com/mens-college-basketball/player/_/id/4711271/carl-cherenfant
JaeCoby Osborne,NEW MEXICO STATE,136,https://www.espn.com/mens-college-basketball/player/_/id/5242603/jaecoby-osborne
Christopher Biekeu,NEW MEXICO STATE,17,https://www.espn.com/mens-college-basketball/player/_/id/4702788/christopher-biekeu
Edward Nnamoko,NEW MEXICO STATE,102,https://www.espn.com/mens-college-basketball/player/_/id/5107220/edward-nnamoko
Azavier Johnson,NEW MEXICO STATE,22,https://www.espn.com/mens-college-basketball/player/_/id/4897690/azavier-johnson
