Player Name,Team,Minutes Played,Player Link
Donovan Dent,NEW MEXICO,930,https://www.espn.com/mens-college-basketball/player/_/id/5107782/donovan-dent
Nelly Junior Joseph,NEW MEXICO,808,https://www.espn.com/mens-college-basketball/player/_/id/4703015/nelly-junior-joseph
Mustapha Amzil,NEW MEXICO,690,https://www.espn.com/mens-college-basketball/player/_/id/4711607/mustapha-amzil
Tru Washington,NEW MEXICO,707,https://www.espn.com/mens-college-basketball/player/_/id/4845368/tru-washington
CJ Noland,NEW MEXICO,547,https://www.espn.com/mens-college-basketball/player/_/id/4694228/cj-noland
Filip Borovicanin,NEW MEXICO,593,https://www.espn.com/mens-college-basketball/player/_/id/5105569/filip-borovicanin
Jovan Milicevic,NEW MEXICO,311,https://www.espn.com/mens-college-basketball/player/_/id/5101673/jovan-milicevic
Braden Appelhans,NEW MEXICO,274,https://www.espn.com/mens-college-basketball/player/_/id/5107781/braden-appelhans
Kayde Dotson,NEW MEXICO,203,https://www.espn.com/mens-college-basketball/player/_/id/5241246/kayde-dotson
Atiki Ally Atiki,NEW MEXICO,237,https://www.espn.com/mens-college-basketball/player/_/id/4896973/atiki-ally-atiki
Ibrahima Sacko,NEW MEXICO,104,https://www.espn.com/mens-college-basketball/player/_/id/5174558/ibrahima-sacko
Quinton Webb,NEW MEXICO,48,https://www.espn.com/mens-college-basketball/player/_/id/5107783/quinton-webb
