Player Name,Team,Minutes Played,Player Link
James White,NEW ORLEANS,677,https://www.espn.com/mens-college-basketball/player/_/id/4683641/james-white
MJ Thomas,NEW ORLEANS,781,https://www.espn.com/mens-college-basketball/player/_/id/4848628/mj-thomas
Jah Short,NEW ORLEANS,733,https://www.espn.com/mens-college-basketball/player/_/id/5176653/jah-short
Dae Dae Hunter,NEW ORLEANS,468,https://www.espn.com/mens-college-basketball/player/_/id/5243060/dae-dae-hunter
Jamond Vincent,NEW ORLEANS,465,https://www.espn.com/mens-college-basketball/player/_/id/4897328/jamond-vincent
Kohen Rowbatham,NEW ORLEANS,483,https://www.espn.com/mens-college-basketball/player/_/id/5243063/kohen-rowbatham
Theo Grant,NEW ORLEANS,404,https://www.espn.com/mens-college-basketball/player/_/id/5243059/theo-grant
JR Jacobs,NEW ORLEANS,704,https://www.espn.com/mens-college-basketball/player/_/id/5107884/jr-jacobs
Leland Coleman,NEW ORLEANS,349,https://www.espn.com/mens-college-basketball/player/_/id/5243061/leland-coleman
Kerwin Prince,NEW ORLEANS,18,https://www.espn.com/mens-college-basketball/player/_/id/5106584/kerwin-prince
Luke Davis,NEW ORLEANS,386,https://www.espn.com/mens-college-basketball/player/_/id/5243062/luke-davis
Grant Kemp,NEW ORLEANS,168,https://www.espn.com/mens-college-basketball/player/_/id/5115621/grant-kemp
Jackson Sowards,NEW ORLEANS,14,https://www.espn.com/mens-college-basketball/player/_/id/5243064/jackson-sowards
