Player Name,Team,Minutes Played,Player Link
Robert Brown III,NICHOLLS,823,https://www.espn.com/mens-college-basketball/player/_/id/4898228/robert-brown-iii
Byron Ireland,NICHOLLS,742,https://www.espn.com/mens-college-basketball/player/_/id/4897160/byron-ireland
Jamal West Jr.,NICHOLLS,716,https://www.espn.com/mens-college-basketball/player/_/id/5176665/jamal-west-jr
Michael Gray Jr.,NICHOLLS,559,https://www.espn.com/mens-college-basketball/player/_/id/4710354/michael-gray-jr
Ike Cornish,NICHOLLS,158,https://www.espn.com/mens-college-basketball/player/_/id/4684158/ike-cornish
Brian Myles,NICHOLLS,62,https://www.espn.com/mens-college-basketball/player/_/id/4897813/brian-myles
Jaylen Searles,NICHOLLS,525,https://www.espn.com/mens-college-basketball/player/_/id/5176646/jaylen-searles
Trae English,NICHOLLS,581,https://www.espn.com/mens-college-basketball/player/_/id/4897337/trae-english
Sincere Malone,NICHOLLS,516,https://www.espn.com/mens-college-basketball/player/_/id/5107701/sincere-malone
Caleb Robinson,NICHOLLS,124,https://www.espn.com/mens-college-basketball/player/_/id/4711671/caleb-robinson
Mekhi Collins,NICHOLLS,473,https://www.espn.com/mens-college-basketball/player/_/id/4897326/mekhi-collins
Emarion Ellis,NICHOLLS,302,https://www.espn.com/mens-college-basketball/player/_/id/4698721/emarion-ellis
Quinn Strander,NICHOLLS,41,https://www.espn.com/mens-college-basketball/player/_/id/4703669/quinn-strander
Dwayne Perkins Jr.,NICHOLLS,3,https://www.espn.com/mens-college-basketball/player/_/id/5250568/dwayne-perkins-jr
