Player Name,Team,Minutes Played,Player Link
Tariq Francis,NJIT,829,https://www.espn.com/mens-college-basketball/player/_/id/5175809/tariq-francis
Tim Moore Jr.,NJIT,735,https://www.espn.com/mens-college-basketball/player/_/id/5239760/tim-moore-jr
Sebastian Robinson,NJIT,926,https://www.espn.com/mens-college-basketball/player/_/id/5175802/sebastian-robinson
Quentin Duncan,NJIT,105,https://www.espn.com/mens-college-basketball/player/_/id/5239757/quentin-duncan
Ari Fulton,NJIT,720,https://www.espn.com/mens-college-basketball/player/_/id/5239758/ari-fulton
Jake Goldberg,NJIT,161,https://www.espn.com/mens-college-basketball/player/_/id/5175805/jake-goldberg
Jordan Rogers,NJIT,625,https://www.espn.com/mens-college-basketball/player/_/id/5239762/jordan-rogers
Levi Lawal,NJIT,416,https://www.espn.com/mens-college-basketball/player/_/id/5184518/levi-lawal
Walt Andrews Jr.,NJIT,183,https://www.espn.com/mens-college-basketball/player/_/id/5239755/walt-andrews-jr
Malachi Arrington,NJIT,179,https://www.espn.com/mens-college-basketball/player/_/id/5239761/malachi-arrington
Cameron Piggee,NJIT,284,https://www.espn.com/mens-college-basketball/player/_/id/5175806/cameron-piggee
Triston Wennersten,NJIT,182,https://www.espn.com/mens-college-basketball/player/_/id/5115726/triston-wennersten
John Kelly,NJIT,221,https://www.espn.com/mens-college-basketball/player/_/id/5239759/john-kelly
Stefan Jimenez-Vojnic,NJIT,58,https://www.espn.com/mens-college-basketball/player/_/id/5239756/stefan-jimenez-vojnic
