Player Name,Team,Minutes Played,Player Link
Ryan Forrest,NORTH CAROLINA A&T,684,https://www.espn.com/mens-college-basketball/player/_/id/5105332/ryan-forrest
Landon Glasper,NORTH CAROLINA A&T,754,https://www.espn.com/mens-college-basketball/player/_/id/5174997/landon-glasper
Jahnathan Lamothe,NORTH CAROLINA A&T,1046,https://www.espn.com/mens-college-basketball/player/_/id/4711264/jahnathan-lamothe
Nikolaos Chitikoudis,NORTH CAROLINA A&T,707,https://www.espn.com/mens-college-basketball/player/_/id/5175001/nikolaos-chitikoudis
Camian Shell,NORTH CAROLINA A&T,989,https://www.espn.com/mens-college-basketball/player/_/id/5174995/camian-shell
Bryson Ogletree,NORTH CAROLINA A&T,459,https://www.espn.com/mens-college-basketball/player/_/id/5242272/bryson-ogletree
Will Felton,NORTH CAROLINA A&T,85,https://www.espn.com/mens-college-basketball/player/_/id/4693724/will-felton
Jalal McKie,NORTH CAROLINA A&T,487,https://www.espn.com/mens-college-basketball/player/_/id/5175000/jalal-mckie
Efstratios Kalliontzis,NORTH CAROLINA A&T,472,https://www.espn.com/mens-college-basketball/player/_/id/5242274/efstratios-kalliontzis
Jason Murphy,NORTH CAROLINA A&T,89,https://www.espn.com/mens-college-basketball/player/_/id/5174999/jason-murphy
Julius Reese,NORTH CAROLINA A&T,8,https://www.espn.com/mens-college-basketball/player/_/id/5175005/julius-reese
Chanler Montgomery,NORTH CAROLINA A&T,6,https://www.espn.com/mens-college-basketball/player/_/id/5242273/chanler-montgomery
Jordan Martin,NORTH CAROLINA A&T,12,https://www.espn.com/mens-college-basketball/player/_/id/5175006/jordan-martin
