Player Name,Team,Minutes Played,Player Link
Po'Boigh King,NORTH CAROLINA CENTRAL,772,https://www.espn.com/mens-college-basketball/player/_/id/5179294/poboigh-king
Keishon Porter,NORTH CAROLINA CENTRAL,642,https://www.espn.com/mens-college-basketball/player/_/id/4702212/keishon-porter
Perry Smith Jr.,NORTH CAROLINA CENTRAL,677,https://www.espn.com/mens-college-basketball/player/_/id/5107296/perry-smith-jr
Josh Smith,NORTH CAROLINA CENTRAL,69,https://www.espn.com/mens-college-basketball/player/_/id/5179291/josh-smith
Isaac Parson,NORTH CAROLINA CENTRAL,483,https://www.espn.com/mens-college-basketball/player/_/id/5243401/isaac-parson
Floyd Rideau Jr.,NORTH CAROLINA CENTRAL,402,https://www.espn.com/mens-college-basketball/player/_/id/4704083/floyd-rideau-jr
Jaqai Murray,NORTH CAROLINA CENTRAL,390,https://www.espn.com/mens-college-basketball/player/_/id/5243403/jaqai-murray
Dionte Johnson,NORTH CAROLINA CENTRAL,483,https://www.espn.com/mens-college-basketball/player/_/id/5108775/dionte-johnson
Timmy Adedire,NORTH CAROLINA CENTRAL,686,https://www.espn.com/mens-college-basketball/player/_/id/4902436/timmy-adedire
Anthony Peoples Jr.,NORTH CAROLINA CENTRAL,97,https://www.espn.com/mens-college-basketball/player/_/id/5243402/anthony-peoples-jr
Kelechi Okworogwo,NORTH CAROLINA CENTRAL,216,https://www.espn.com/mens-college-basketball/player/_/id/5106673/kelechi-okworogwo
Aquan Smart,NORTH CAROLINA CENTRAL,268,https://www.espn.com/mens-college-basketball/player/_/id/4590400/aquan-smart
Chris Daniels,NORTH CAROLINA CENTRAL,44,https://www.espn.com/mens-college-basketball/player/_/id/4898288/chris-daniels
Caleb Ellison,NORTH CAROLINA CENTRAL,19,https://www.espn.com/mens-college-basketball/player/_/id/5179290/caleb-ellison
