Player Name,Team,Minutes Played,Player Link
RJ Davis,NORTH CAROLINA,972,https://www.espn.com/mens-college-basketball/player/_/id/4433176/rj-davis
Ian Jackson,NORTH CAROLINA,707,https://www.espn.com/mens-college-basketball/player/_/id/4869770/ian-jackson
Seth Trimble,NORTH CAROLINA,752,https://www.espn.com/mens-college-basketball/player/_/id/4712836/seth-trimble
Elliot Cadeau,NORTH CAROLINA,796,https://www.espn.com/mens-college-basketball/player/_/id/4869764/elliot-cadeau
Ven-Allen Lubin,NORTH CAROLINA,502,https://www.espn.com/mens-college-basketball/player/_/id/4684799/ven-allen-lubin
Drake Powell,NORTH CAROLINA,687,https://www.espn.com/mens-college-basketball/player/_/id/5037873/drake-powell
Jalen Washington,NORTH CAROLINA,464,https://www.espn.com/mens-college-basketball/player/_/id/4433625/jalen-washington
Jae'Lyn Withers,NORTH CAROLINA,424,https://www.espn.com/mens-college-basketball/player/_/id/4431740/jaelyn-withers
Cade Tyson,NORTH CAROLINA,201,https://www.espn.com/mens-college-basketball/player/_/id/5107970/cade-tyson
Ty Claude,NORTH CAROLINA,81,https://www.espn.com/mens-college-basketball/player/_/id/4593677/ty-claude
James Brown,NORTH CAROLINA,39,https://www.espn.com/mens-college-basketball/player/_/id/4869763/james-brown
Dante Mayo Jr.,NORTH CAROLINA,8,https://www.espn.com/mens-college-basketball/player/_/id/5238174/dante-mayo-jr
John Holbrook,NORTH CAROLINA,7,https://www.espn.com/mens-college-basketball/player/_/id/5238173/john-holbrook
Russell Hawkins,NORTH CAROLINA,10,https://www.espn.com/mens-college-basketball/player/_/id/5238172/russell-hawkins
