Player Name,Team,Minutes Played,Player Link
Trent McLaughlin,NORTHERN ARIZONA,1055,https://www.espn.com/mens-college-basketball/player/_/id/4896538/trent-mclaughlin
Carson Towt,NORTHERN ARIZONA,951,https://www.espn.com/mens-college-basketball/player/_/id/4702120/carson-towt
Jayden Jackson,NORTHERN ARIZONA,886,https://www.espn.com/mens-college-basketball/player/_/id/4897936/jayden-jackson
Diego Campisano,NORTHERN ARIZONA,441,https://www.espn.com/mens-college-basketball/player/_/id/4897938/diego-campisano
Monty Bowser,NORTHERN ARIZONA,560,https://www.espn.com/mens-college-basketball/player/_/id/4591258/monty-bowser
Oakland Fort,NORTHERN ARIZONA,464,https://www.espn.com/mens-college-basketball/player/_/id/4888717/oakland-fort
Ryan Abelman,NORTHERN ARIZONA,435,https://www.espn.com/mens-college-basketball/player/_/id/5107851/ryan-abelman
Dillan Baker,NORTHERN ARIZONA,364,https://www.espn.com/mens-college-basketball/player/_/id/5241296/dillan-baker
Leigh Rickwood-Pitt,NORTHERN ARIZONA,274,https://www.espn.com/mens-college-basketball/player/_/id/5241297/leigh-rickwood-pitt
Jack Wistrcill,NORTHERN ARIZONA,189,https://www.espn.com/mens-college-basketball/player/_/id/5107850/jack-wistrcill
Ali Ragab,NORTHERN ARIZONA,138,https://www.espn.com/mens-college-basketball/player/_/id/5175353/ali-ragab
C.J. Ford,NORTHERN ARIZONA,42,https://www.espn.com/mens-college-basketball/player/_/id/5107848/cj-ford
