Player Name,Team,Minutes Played,Player Link
Isaiah Hawthorne,NORTHERN COLORADO,818,https://www.espn.com/mens-college-basketball/player/_/id/4431975/isaiah-hawthorne
Langston Reynolds,NORTHERN COLORADO,922,https://www.espn.com/mens-college-basketball/player/_/id/5107857/langston-reynolds
Jaron Rillie,NORTHERN COLORADO,922,https://www.espn.com/mens-college-basketball/player/_/id/4703836/jaron-rillie
Brock Wisne,NORTHERN COLORADO,696,https://www.espn.com/mens-college-basketball/player/_/id/5107858/brock-wisne
Marcell McCreary,NORTHERN COLORADO,538,https://www.espn.com/mens-college-basketball/player/_/id/5113390/marcell-mccreary
Quinn Denker,NORTHERN COLORADO,584,https://www.espn.com/mens-college-basketball/player/_/id/5176300/quinn-denker
Zach Bloch,NORTHERN COLORADO,786,https://www.espn.com/mens-college-basketball/player/_/id/4897944/zach-bloch
Luca Colceag,NORTHERN COLORADO,123,https://www.espn.com/mens-college-basketball/player/_/id/5107843/luca-colceag
Egan Shields,NORTHERN COLORADO,260,https://www.espn.com/mens-college-basketball/player/_/id/5175417/egan-shields
Taeshaud Jackson,NORTHERN COLORADO,119,https://www.espn.com/mens-college-basketball/player/_/id/5107349/taeshaud-jackson
William Humer,NORTHERN COLORADO,80,https://www.espn.com/mens-college-basketball/player/_/id/5176255/william-humer
Radek Homer,NORTHERN COLORADO,27,https://www.espn.com/mens-college-basketball/player/_/id/5175416/radek-homer
