Player Name,Team,Minutes Played,Player Link
Quentin Jones,NORTHERN ILLINOIS,985,https://www.espn.com/mens-college-basketball/player/_/id/5175171/quentin-jones
James Dent Jr.,NORTHERN ILLINOIS,920,https://www.espn.com/mens-college-basketball/player/_/id/5177651/james-dent-jr
Quaran McPherson,NORTHERN ILLINOIS,532,https://www.espn.com/mens-college-basketball/player/_/id/4432524/quaran-mcpherson
Ethan Butler,NORTHERN ILLINOIS,469,https://www.espn.com/mens-college-basketball/player/_/id/4898117/ethan-butler
Nasir Muhammad,NORTHERN ILLINOIS,543,https://www.espn.com/mens-college-basketball/player/_/id/5176224/nasir-muhammad
Terry Copeland Jr.,NORTHERN ILLINOIS,18,https://www.espn.com/mens-college-basketball/player/_/id/5243058/terry-copeland-jr
Kailon Nicholls,NORTHERN ILLINOIS,581,https://www.espn.com/mens-college-basketball/player/_/id/5174587/kailon-nicholls
Tsvet Sotirov,NORTHERN ILLINOIS,449,https://www.espn.com/mens-college-basketball/player/_/id/5174642/tsvet-sotirov
Joe Munden Jr.,NORTHERN ILLINOIS,401,https://www.espn.com/mens-college-basketball/player/_/id/4703144/joe-munden-jr
Dominic Gooden,NORTHERN ILLINOIS,70,https://www.espn.com/mens-college-basketball/player/_/id/5243055/dominic-gooden
Jayden Mott,NORTHERN ILLINOIS,263,https://www.espn.com/mens-college-basketball/player/_/id/5243056/jayden-mott
Steven Tipton,NORTHERN ILLINOIS,107,https://www.espn.com/mens-college-basketball/player/_/id/5125137/steven-tipton
Oluwasegun Durosinmi,NORTHERN ILLINOIS,58,https://www.espn.com/mens-college-basketball/player/_/id/4684462/oluwasegun-durosinmi
David Mack,NORTHERN ILLINOIS,14,https://www.espn.com/mens-college-basketball/player/_/id/5243057/david-mack
Mo Sall,NORTHERN ILLINOIS,6,https://www.espn.com/mens-college-basketball/player/_/id/5105584/mo-sall
Peyton Ackerman,NORTHERN ILLINOIS,9,https://www.espn.com/mens-college-basketball/player/_/id/5106263/peyton-ackerman
