Player Name,Team,Minutes Played,Player Link
Tytan Anderson,NORTHERN IOWA,837,https://www.espn.com/mens-college-basketball/player/_/id/4703914/tytan-anderson
Jacob Hutson,NORTHERN IOWA,634,https://www.espn.com/mens-college-basketball/player/_/id/4590402/jacob-hutson
Trey Campbell,NORTHERN IOWA,807,https://www.espn.com/mens-college-basketball/player/_/id/5107887/trey-campbell
Leon Bond III,NORTHERN IOWA,586,https://www.espn.com/mens-college-basketball/player/_/id/4838704/leon-bond-iii
Ben Schwieger,NORTHERN IOWA,837,https://www.espn.com/mens-college-basketball/player/_/id/4897474/ben-schwieger
RJ Taylor,NORTHERN IOWA,172,https://www.espn.com/mens-college-basketball/player/_/id/5176384/rj-taylor
Max Weisbrod,NORTHERN IOWA,645,https://www.espn.com/mens-college-basketball/player/_/id/5241408/max-weisbrod
Will Hornseth,NORTHERN IOWA,411,https://www.espn.com/mens-college-basketball/player/_/id/5241409/will-hornseth
Cael Schmitt,NORTHERN IOWA,152,https://www.espn.com/mens-college-basketball/player/_/id/4713399/cael-schmitt
Kyle Pock,NORTHERN IOWA,280,https://www.espn.com/mens-college-basketball/player/_/id/5176385/kyle-pock
Redek Born,NORTHERN IOWA,125,https://www.espn.com/mens-college-basketball/player/_/id/5241407/redek-born
Charlie Miller,NORTHERN IOWA,43,https://www.espn.com/mens-college-basketball/player/_/id/5107888/charlie-miller
Chase Courbat,NORTHERN IOWA,20,https://www.espn.com/mens-college-basketball/player/_/id/4897480/chase-courbat
Wes Rubin,NORTHERN IOWA,31,https://www.espn.com/mens-college-basketball/player/_/id/5176383/wes-rubin
Hunter Jacobson,NORTHERN IOWA,20,https://www.espn.com/mens-college-basketball/player/_/id/5107889/hunter-jacobson
