Player Name,Team,Minutes Played,Player Link
Markus Burton,NOTRE DAME,644,https://www.espn.com/mens-college-basketball/player/_/id/5101623/markus-burton
Tae Davis,NOTRE DAME,833,https://www.espn.com/mens-college-basketball/player/_/id/5105594/tae-davis
Braeden Shrewsberry,NOTRE DAME,901,https://www.espn.com/mens-college-basketball/player/_/id/4912455/braeden-shrewsberry
Matt Allocco,NOTRE DAME,725,https://www.espn.com/mens-college-basketball/player/_/id/4898232/matt-allocco
Kebba Njie,NOTRE DAME,645,https://www.espn.com/mens-college-basketball/player/_/id/5105845/kebba-njie
J.R. Konieczny,NOTRE DAME,372,https://www.espn.com/mens-college-basketball/player/_/id/4575837/jr-konieczny
Sir Mohammed,NOTRE DAME,225,https://www.espn.com/mens-college-basketball/player/_/id/5137653/sir-mohammed
Burke Chebuhar,NOTRE DAME,76,https://www.espn.com/mens-college-basketball/player/_/id/4897895/burke-chebuhar
Garrett Sundra,NOTRE DAME,146,https://www.espn.com/mens-college-basketball/player/_/id/5142610/garrett-sundra
Nikita Konstantynovskyi,NOTRE DAME,216,https://www.espn.com/mens-college-basketball/player/_/id/4897154/nikita-konstantynovskyi
Logan Imes,NOTRE DAME,215,https://www.espn.com/mens-college-basketball/player/_/id/4872727/logan-imes
Cole Certa,NOTRE DAME,63,https://www.espn.com/mens-college-basketball/player/_/id/5144373/cole-certa
Julian Roper II,NOTRE DAME,411,https://www.espn.com/mens-college-basketball/player/_/id/4683949/julian-roper-ii
JT Kelly,NOTRE DAME,2,https://www.espn.com/mens-college-basketball/player/_/id/5181205/jt-kelly
Thomas Hattan,NOTRE DAME,2,https://www.espn.com/mens-college-basketball/player/_/id/5181206/thomas-hattan
Thomas Crowe,NOTRE DAME,2,https://www.espn.com/mens-college-basketball/player/_/id/5181208/thomas-crowe
