Player Name,Team,Minutes Played,Player Link
Tuburu Naivalurua,OAKLAND,880,https://www.espn.com/mens-college-basketball/player/_/id/5177207/tuburu-naivalurua
Allen Mukeba,OAKLAND,808,https://www.espn.com/mens-college-basketball/player/_/id/5109033/allen-mukeba
DQ Cole,OAKLAND,813,https://www.espn.com/mens-college-basketball/player/_/id/5177206/dq-cole
Malcolm Christie,OAKLAND,564,https://www.espn.com/mens-college-basketball/player/_/id/5241683/malcolm-christie
Isaiah Jones,OAKLAND,524,https://www.espn.com/mens-college-basketball/player/_/id/4067423/isaiah-jones
Jaylen Jones,OAKLAND,616,https://www.espn.com/mens-college-basketball/player/_/id/4845388/jaylen-jones
Nassim Mashhour,OAKLAND,334,https://www.espn.com/mens-college-basketball/player/_/id/5241679/nassim-mashhour
Jayson Woodrich,OAKLAND,495,https://www.espn.com/mens-college-basketball/player/_/id/4702699/jayson-woodrich
Cooper Craggs,OAKLAND,381,https://www.espn.com/mens-college-basketball/player/_/id/5106781/cooper-craggs
Zavier Banks,OAKLAND,24,https://www.espn.com/mens-college-basketball/player/_/id/5177208/zavier-banks
Jack Hoth,OAKLAND,69,https://www.espn.com/mens-college-basketball/player/_/id/5241682/jack-hoth
Jeremiah Bembry,OAKLAND,29,https://www.espn.com/mens-college-basketball/player/_/id/4899784/jeremiah-bembry
Deng Majak,OAKLAND,132,https://www.espn.com/mens-college-basketball/player/_/id/5241685/deng-majak
Warren Marshall IV,OAKLAND,5,https://www.espn.com/mens-college-basketball/player/_/id/5241684/warren-marshall-iv
