Player Name,Team,Minutes Played,Player Link
AJ Clayton,OHIO,671,https://www.espn.com/mens-college-basketball/player/_/id/4898339/aj-clayton
Jackson Paveletzke,OHIO,847,https://www.espn.com/mens-college-basketball/player/_/id/5107317/jackson-paveletzke
AJ Brown,OHIO,734,https://www.espn.com/mens-college-basketball/player/_/id/5108014/aj-brown
Shereef Mitchell,OHIO,533,https://www.espn.com/mens-college-basketball/player/_/id/4432059/shereef-mitchell
Aidan Hadaway,OHIO,463,https://www.espn.com/mens-college-basketball/player/_/id/5108011/aidan-hadaway
Elmore James,OHIO,618,https://www.espn.com/mens-college-basketball/player/_/id/5108010/elmore-james
Vic Searls,OHIO,499,https://www.espn.com/mens-college-basketball/player/_/id/4912676/vic-searls
Ajay Sheldon,OHIO,523,https://www.espn.com/mens-college-basketball/player/_/id/5108009/ajay-sheldon
Elijah Elliott,OHIO,384,https://www.espn.com/mens-college-basketball/player/_/id/5243080/elijah-elliott
Ben Nicol,OHIO,30,https://www.espn.com/mens-college-basketball/player/_/id/5176229/ben-nicol
Ayden Evans,OHIO,94,https://www.espn.com/mens-college-basketball/player/_/id/4873136/ayden-evans
Ben Estis,OHIO,28,https://www.espn.com/mens-college-basketball/player/_/id/5108012/ben-estis
