Player Name,Team,Minutes Played,Player Link
Bryce Thompson,OKLAHOMA STATE,692,https://www.espn.com/mens-college-basketball/player/_/id/4432200/bryce-thompson
Marchelus Avery,OKLAHOMA STATE,600,https://www.espn.com/mens-college-basketball/player/_/id/4896927/marchelus-avery
Abou Ousmane,OKLAHOMA STATE,590,https://www.espn.com/mens-college-basketball/player/_/id/4702773/abou-ousmane
Arturo Dean,OKLAHOMA STATE,602,https://www.espn.com/mens-college-basketball/player/_/id/5106868/arturo-dean
Brandon Newman,OKLAHOMA STATE,500,https://www.espn.com/mens-college-basketball/player/_/id/4592726/brandon-newman
Khalil Brantley,OKLAHOMA STATE,544,https://www.espn.com/mens-college-basketball/player/_/id/4709132/khalil-brantley
Robert Jennings II,OKLAHOMA STATE,481,https://www.espn.com/mens-college-basketball/player/_/id/5106286/robert-jennings-ii
Jamyron Keller,OKLAHOMA STATE,530,https://www.espn.com/mens-college-basketball/player/_/id/4711257/jamyron-keller
Patrick Suemnick,OKLAHOMA STATE,292,https://www.espn.com/mens-college-basketball/player/_/id/4703002/patrick-suemnick
Andrija Vukovic,OKLAHOMA STATE,40,https://www.espn.com/mens-college-basketball/player/_/id/5240264/andrija-vukovic
Davonte Davis,OKLAHOMA STATE,367,https://www.espn.com/mens-college-basketball/player/_/id/4432197/davonte-davis
Connor Dow,OKLAHOMA STATE,138,https://www.espn.com/mens-college-basketball/player/_/id/5101865/connor-dow
Tyler Caron,OKLAHOMA STATE,17,https://www.espn.com/mens-college-basketball/player/_/id/4606380/tyler-caron
Kirk Cole,OKLAHOMA STATE,8,https://www.espn.com/mens-college-basketball/player/_/id/4897148/kirk-cole
Jaxton Bobik,OKLAHOMA STATE,2,https://www.espn.com/mens-college-basketball/player/_/id/5240266/jaxton-bobik
