Player Name,Team,Minutes Played,Player Link
Jalon Moore,OKLAHOMA,821,https://www.espn.com/mens-college-basketball/player/_/id/4701819/jalon-moore
Jeremiah Fears,OKLAHOMA,787,https://www.espn.com/mens-college-basketball/player/_/id/5144091/jeremiah-fears
Duke Miles,OKLAHOMA,684,https://www.espn.com/mens-college-basketball/player/_/id/4702049/duke-miles
Brycen Goodine,OKLAHOMA,495,https://www.espn.com/mens-college-basketball/player/_/id/4431716/brycen-goodine
Kobe Elvis,OKLAHOMA,637,https://www.espn.com/mens-college-basketball/player/_/id/4683135/kobe-elvis
Sam Godwin,OKLAHOMA,511,https://www.espn.com/mens-college-basketball/player/_/id/4703886/sam-godwin
Glenn Taylor Jr.,OKLAHOMA,574,https://www.espn.com/mens-college-basketball/player/_/id/4833075/glenn-taylor-jr
Dayton Forsythe,OKLAHOMA,284,https://www.espn.com/mens-college-basketball/player/_/id/5238221/dayton-forsythe
Mohamed Wague,OKLAHOMA,258,https://www.espn.com/mens-college-basketball/player/_/id/5106293/mohamed-wague
Luke Northweather,OKLAHOMA,268,https://www.espn.com/mens-college-basketball/player/_/id/5106269/luke-northweather
Jacolb Fredson-Cole,OKLAHOMA,69,https://www.espn.com/mens-college-basketball/player/_/id/5238222/jacolb-fredson-cole
Jake Moser,OKLAHOMA,6,https://www.espn.com/mens-college-basketball/player/_/id/4897746/jake-moser
Reid Lovelace,OKLAHOMA,7,https://www.espn.com/mens-college-basketball/player/_/id/5175059/reid-lovelace
