Player Name,Team,Minutes Played,Player Link
Sean Durugordon,OLD DOMINION,904,https://www.espn.com/mens-college-basketball/player/_/id/4713089/sean-durugordon
Robert Davis Jr.,OLD DOMINION,1005,https://www.espn.com/mens-college-basketball/player/_/id/5174612/robert-davis-jr
Devin Ceaser,OLD DOMINION,247,https://www.espn.com/mens-college-basketball/player/_/id/4888718/devin-ceaser
Jaden Johnson,OLD DOMINION,979,https://www.espn.com/mens-college-basketball/player/_/id/5240616/jaden-johnson
Stephaun Walker,OLD DOMINION,594,https://www.espn.com/mens-college-basketball/player/_/id/5106791/stephaun-walker
R.J. Blakney,OLD DOMINION,615,https://www.espn.com/mens-college-basketball/player/_/id/4700864/rj-blakney
Caelum Swanton-Rodger,OLD DOMINION,540,https://www.espn.com/mens-college-basketball/player/_/id/5105804/caelum-swanton-rodger
Dani Pounds,OLD DOMINION,222,https://www.espn.com/mens-college-basketball/player/_/id/5176571/dani-pounds
Scottie Hubbard,OLD DOMINION,83,https://www.espn.com/mens-college-basketball/player/_/id/5240615/scottie-hubbard
Caden Diggs,OLD DOMINION,314,https://www.espn.com/mens-college-basketball/player/_/id/5196866/caden-diggs
Donovan Raymond,OLD DOMINION,122,https://www.espn.com/mens-college-basketball/player/_/id/4711303/donovan-raymond
Cooper Jones,OLD DOMINION,10,https://www.espn.com/mens-college-basketball/player/_/id/5106462/cooper-jones
Ben Nacey,OLD DOMINION,77,https://www.espn.com/mens-college-basketball/player/_/id/5240620/ben-nacey
Jaylen Jenkins,OLD DOMINION,7,https://www.espn.com/mens-college-basketball/player/_/id/5176574/jaylen-jenkins
CJ Parker,OLD DOMINION,5,https://www.espn.com/mens-college-basketball/player/_/id/5240617/cj-parker
Vytautas Zygas,OLD DOMINION,112,https://www.espn.com/mens-college-basketball/player/_/id/5240618/vytautas-zygas
Rieco Hellams,OLD DOMINION,15,https://www.espn.com/mens-college-basketball/player/_/id/5246872/rieco-hellams
Imo Essien,OLD DOMINION,0,https://www.espn.com/mens-college-basketball/player/_/id/4897541/imo-essien
