Player Name,Team,Minutes Played,Player Link
Marquel Sutton,OMAHA,974,https://www.espn.com/mens-college-basketball/player/_/id/5107264/marquel-sutton
JJ White,OMAHA,798,https://www.espn.com/mens-college-basketball/player/_/id/5107260/jj-white
Tony Osburn,OMAHA,775,https://www.espn.com/mens-college-basketball/player/_/id/5107268/tony-osburn
Lance Waddles,OMAHA,640,https://www.espn.com/mens-college-basketball/player/_/id/5107275/lance-waddles
Ja'Sean Glover,OMAHA,692,https://www.espn.com/mens-college-basketball/player/_/id/5107263/jasean-glover
Kamryn Thomas,OMAHA,743,https://www.espn.com/mens-college-basketball/player/_/id/5241629/kamryn-thomas
Isaac Ondekane,OMAHA,486,https://www.espn.com/mens-college-basketball/player/_/id/5177349/isaac-ondekane
Joshua Streit,OMAHA,578,https://www.espn.com/mens-college-basketball/player/_/id/4897274/joshua-streit
Khamani Cooper,OMAHA,104,https://www.espn.com/mens-college-basketball/player/_/id/5241630/khamani-cooper
Grant Stubblefield,OMAHA,148,https://www.espn.com/mens-college-basketball/player/_/id/5177015/grant-stubblefield
Sebastian Perry,OMAHA,10,https://www.espn.com/mens-college-basketball/player/_/id/5177016/sebastian-perry
Pablo Soumare,OMAHA,44,https://www.espn.com/mens-college-basketball/player/_/id/5241631/pablo-soumare
Lincoln Palbicki,OMAHA,8,https://www.espn.com/mens-college-basketball/player/_/id/5177022/lincoln-palbicki
