Player Name,Team,Minutes Played,Player Link
Elijah Fisher,PACIFIC,1037,https://www.espn.com/mens-college-basketball/player/_/id/5106288/elijah-fisher
Elias Ralph,PACIFIC,985,https://www.espn.com/mens-college-basketball/player/_/id/5240903/elias-ralph
Lamar Washington,PACIFIC,1063,https://www.espn.com/mens-college-basketball/player/_/id/5106284/lamar-washington
Petar Krivokapic,PACIFIC,819,https://www.espn.com/mens-college-basketball/player/_/id/4702675/petar-krivokapic
Jefferson Koulibaly,PACIFIC,810,https://www.espn.com/mens-college-basketball/player/_/id/4702464/jefferson-koulibaly
Jazz Gardner,PACIFIC,549,https://www.espn.com/mens-college-basketball/player/_/id/4685682/jazz-gardner
Seth Jones,PACIFIC,255,https://www.espn.com/mens-college-basketball/player/_/id/5240906/seth-jones
Eddie Jallow Hedqvist,PACIFIC,10,https://www.espn.com/mens-college-basketball/player/_/id/5240905/eddie-jallow-hedqvist
Kris Keinys,PACIFIC,149,https://www.espn.com/mens-college-basketball/player/_/id/5174796/kris-keinys
Carter Benton,PACIFIC,195,https://www.espn.com/mens-college-basketball/player/_/id/5240910/carter-benton
Burke Smith,PACIFIC,235,https://www.espn.com/mens-college-basketball/player/_/id/4585612/burke-smith
Solomon Ominu,PACIFIC,104,https://www.espn.com/mens-college-basketball/player/_/id/5240907/solomon-ominu
Amare Campbell,PACIFIC,27,https://www.espn.com/mens-college-basketball/player/_/id/5259590/amare-campbell
Andrew McKenna,PACIFIC,11,https://www.espn.com/mens-college-basketball/player/_/id/5240909/andrew-mckenna
