Player Name,Team,Minutes Played,Player Link
Ace Baldwin Jr.,PENN STATE,911,https://www.espn.com/mens-college-basketball/player/_/id/4433182/ace-baldwin-jr
Yanic Konan Niederhauser,PENN STATE,626,https://www.espn.com/mens-college-basketball/player/_/id/5108024/yanic-konan-niederhauser
Nick Kern Jr.,PENN STATE,735,https://www.espn.com/mens-college-basketball/player/_/id/4684145/nick-kern-jr
Zach Hicks,PENN STATE,885,https://www.espn.com/mens-college-basketball/player/_/id/4708214/zach-hicks
Puff Johnson,PENN STATE,393,https://www.espn.com/mens-college-basketball/player/_/id/4701846/puff-johnson
Freddie Dilione V,PENN STATE,665,https://www.espn.com/mens-college-basketball/player/_/id/5125192/freddie-dilione-v
D'Marco Dunn,PENN STATE,583,https://www.espn.com/mens-college-basketball/player/_/id/4683638/dmarco-dunn
Dominick Stewart,PENN STATE,179,https://www.espn.com/mens-college-basketball/player/_/id/5173445/dominick-stewart
Kachi Nzeh,PENN STATE,313,https://www.espn.com/mens-college-basketball/player/_/id/4895787/kachi-nzeh
Jahvin Carter,PENN STATE,193,https://www.espn.com/mens-college-basketball/player/_/id/5149117/jahvin-carter
Miles Goodman,PENN STATE,76,https://www.espn.com/mens-college-basketball/player/_/id/5061587/miles-goodman
Joe Sedora,PENN STATE,12,https://www.espn.com/mens-college-basketball/player/_/id/5239602/joe-sedora
Eli Rice,PENN STATE,7,https://www.espn.com/mens-college-basketball/player/_/id/5093264/eli-rice
Hudson Ward,PENN STATE,20,https://www.espn.com/mens-college-basketball/player/_/id/5239603/hudson-ward
