Player Name,Team,Minutes Played,Player Link
Jaland Lowe,PITTSBURGH,910,https://www.espn.com/mens-college-basketball/player/_/id/4684270/jaland-lowe
Ishmael Leggett,PITTSBURGH,922,https://www.espn.com/mens-college-basketball/player/_/id/4606837/ishmael-leggett
Cameron Corhen,PITTSBURGH,779,https://www.espn.com/mens-college-basketball/player/_/id/4712902/cameron-corhen
Damian Dunn,PITTSBURGH,400,https://www.espn.com/mens-college-basketball/player/_/id/4431946/damian-dunn
Zack Austin,PITTSBURGH,853,https://www.espn.com/mens-college-basketball/player/_/id/4702099/zack-austin
Guillermo Diaz Graham,PITTSBURGH,611,https://www.espn.com/mens-college-basketball/player/_/id/5105410/guillermo-diaz-graham
Brandin Cummings,PITTSBURGH,393,https://www.espn.com/mens-college-basketball/player/_/id/5060728/brandin-cummings
Amsal Delalic,PITTSBURGH,226,https://www.espn.com/mens-college-basketball/player/_/id/5238181/amsal-delalic
Jorge Diaz Graham,PITTSBURGH,181,https://www.espn.com/mens-college-basketball/player/_/id/5105411/jorge-diaz-graham
Papa Amadou Kante,PITTSBURGH,146,https://www.espn.com/mens-college-basketball/player/_/id/5174565/papa-amadou-kante
Amdy Ndiaye,PITTSBURGH,18,https://www.espn.com/mens-college-basketball/player/_/id/5238179/amdy-ndiaye
Marlon Barnes Jr.,PITTSBURGH,11,https://www.espn.com/mens-college-basketball/player/_/id/4701543/marlon-barnes-jr
