Player Name,Team,Minutes Played,Player Link
Jaylin Henderson,PORTLAND STATE,900,https://www.espn.com/mens-college-basketball/player/_/id/5175974/jaylin-henderson
Terri Miller Jr.,PORTLAND STATE,590,https://www.espn.com/mens-college-basketball/player/_/id/5175976/terri-miller-jr
Isaiah Johnson,PORTLAND STATE,833,https://www.espn.com/mens-college-basketball/player/_/id/4702389/isaiah-johnson
Qiant Myers,PORTLAND STATE,919,https://www.espn.com/mens-college-basketball/player/_/id/5118611/qiant-myers
Ismail Habib,PORTLAND STATE,159,https://www.espn.com/mens-college-basketball/player/_/id/4711838/ismail-habib
Tre-Vaughn Minott,PORTLAND STATE,601,https://www.espn.com/mens-college-basketball/player/_/id/4712656/tre-vaughn-minott
Cole Farrell,PORTLAND STATE,504,https://www.espn.com/mens-college-basketball/player/_/id/5108150/cole-farrell
Shane Nowell,PORTLAND STATE,461,https://www.espn.com/mens-college-basketball/player/_/id/4433263/shane-nowell
Hayden Curtiss,PORTLAND STATE,265,https://www.espn.com/mens-college-basketball/player/_/id/4701202/hayden-curtiss
Kelcy Phipps,PORTLAND STATE,239,https://www.espn.com/mens-college-basketball/player/_/id/5175677/kelcy-phipps
Isaac Brice,PORTLAND STATE,132,https://www.espn.com/mens-college-basketball/player/_/id/5177095/isaac-brice
