Player Name,Team,Minutes Played,Player Link
Max Mackinnon,PORTLAND,800,https://www.espn.com/mens-college-basketball/player/_/id/5105785/max-mackinnon
Austin Rapp,PORTLAND,906,https://www.espn.com/mens-college-basketball/player/_/id/5240971/austin-rapp
Vukasin Masic,PORTLAND,639,https://www.espn.com/mens-college-basketball/player/_/id/4702764/vukasin-masic
Chris Austin,PORTLAND,786,https://www.espn.com/mens-college-basketball/player/_/id/4396811/chris-austin
Bol Dengdit,PORTLAND,621,https://www.espn.com/mens-college-basketball/player/_/id/5105426/bol-dengdit
Vincent Delano,PORTLAND,713,https://www.espn.com/mens-college-basketball/player/_/id/5176494/vincent-delano
Mikah Ballew,PORTLAND,481,https://www.espn.com/mens-college-basketball/player/_/id/5240973/mikah-ballew
Jermaine Ballisager Webb,PORTLAND,285,https://www.espn.com/mens-college-basketball/player/_/id/5105662/jermaine-ballisager-webb
Mezziah Oakman,PORTLAND,124,https://www.espn.com/mens-college-basketball/player/_/id/5176468/mezziah-oakman
Jinup Dobuol,PORTLAND,22,https://www.espn.com/mens-college-basketball/player/_/id/5240966/jinup-dobuol
Todd Jones,PORTLAND,260,https://www.espn.com/mens-college-basketball/player/_/id/5240972/todd-jones
Kelson Gebbers,PORTLAND,181,https://www.espn.com/mens-college-basketball/player/_/id/5176495/kelson-gebbers
Coleman Lemke,PORTLAND,74,https://www.espn.com/mens-college-basketball/player/_/id/4897188/coleman-lemke
Jude Harris,PORTLAND,10,https://www.espn.com/mens-college-basketball/player/_/id/5176496/jude-harris
