Player Name,Team,Minutes Played,Player Link
Kobe Stewart,PRESBYTERIAN,958,https://www.espn.com/mens-college-basketball/player/_/id/4702196/kobe-stewart
Kory Mincy,PRESBYTERIAN,910,https://www.espn.com/mens-college-basketball/player/_/id/5175671/kory-mincy
Jonah Pierce,PRESBYTERIAN,196,https://www.espn.com/mens-college-basketball/player/_/id/5175673/jonah-pierce
Kaleb Scott,PRESBYTERIAN,703,https://www.espn.com/mens-college-basketball/player/_/id/4702111/kaleb-scott
Jamahri Harvey,PRESBYTERIAN,711,https://www.espn.com/mens-college-basketball/player/_/id/4702775/jamahri-harvey
Carl Parrish,PRESBYTERIAN,529,https://www.espn.com/mens-college-basketball/player/_/id/5175672/carl-parrish
Jaylen Peterson,PRESBYTERIAN,613,https://www.espn.com/mens-college-basketball/player/_/id/5107524/jaylen-peterson
Iverson King,PRESBYTERIAN,546,https://www.espn.com/mens-college-basketball/player/_/id/5241602/iverson-king
Quadir Pettaway,PRESBYTERIAN,351,https://www.espn.com/mens-college-basketball/player/_/id/5107522/quadir-pettaway
Triston Wilson,PRESBYTERIAN,265,https://www.espn.com/mens-college-basketball/player/_/id/5241606/triston-wilson
Luke Allison,PRESBYTERIAN,10,https://www.espn.com/mens-college-basketball/player/_/id/5241603/luke-allison
Houston Jones,PRESBYTERIAN,60,https://www.espn.com/mens-college-basketball/player/_/id/5107521/houston-jones
