Player Name,Team,Minutes Played,Player Link
Xaivian Lee,PRINCETON,824,https://www.espn.com/mens-college-basketball/player/_/id/5107169/xaivian-lee
Caden Pierce,PRINCETON,799,https://www.espn.com/mens-college-basketball/player/_/id/5107170/caden-pierce
Blake Peters,PRINCETON,748,https://www.espn.com/mens-college-basketball/player/_/id/4898233/blake-peters
Dalen Davis,PRINCETON,666,https://www.espn.com/mens-college-basketball/player/_/id/5177175/dalen-davis
Jackson Hicke,PRINCETON,423,https://www.espn.com/mens-college-basketball/player/_/id/5177174/jackson-hicke
Philip Byriel,PRINCETON,430,https://www.espn.com/mens-college-basketball/player/_/id/4898234/philip-byriel
CJ Happy,PRINCETON,201,https://www.espn.com/mens-college-basketball/player/_/id/5241741/cj-happy
Malik Abdullahi,PRINCETON,378,https://www.espn.com/mens-college-basketball/player/_/id/5174791/malik-abdullahi
Peyton Seals,PRINCETON,145,https://www.espn.com/mens-college-basketball/player/_/id/5241740/peyton-seals
Jack Stanton,PRINCETON,182,https://www.espn.com/mens-college-basketball/player/_/id/5241743/jack-stanton
Darius Gakwasi,PRINCETON,38,https://www.espn.com/mens-college-basketball/player/_/id/4898229/darius-gakwasi
Jacob Huggins,PRINCETON,127,https://www.espn.com/mens-college-basketball/player/_/id/5177173/jacob-huggins
Cooper Mueller,PRINCETON,9,https://www.espn.com/mens-college-basketball/player/_/id/5247624/cooper-mueller
Jack Scott,PRINCETON,188,https://www.espn.com/mens-college-basketball/player/_/id/4888720/jack-scott
Ryan Duncan,PRINCETON,30,https://www.espn.com/mens-college-basketball/player/_/id/5177171/ryan-duncan
Zio Kim,PRINCETON,13,https://www.espn.com/mens-college-basketball/player/_/id/5241742/zio-kim
