Player Name,Team,Minutes Played,Player Link
Trey Kaufman-Renn,PURDUE,812,https://www.espn.com/mens-college-basketball/player/_/id/4897438/trey-kaufman-renn
Braden Smith,PURDUE,985,https://www.espn.com/mens-college-basketball/player/_/id/5105854/braden-smith
Fletcher Loyer,PURDUE,834,https://www.espn.com/mens-college-basketball/player/_/id/5105853/fletcher-loyer
Daniel Jacobsen,PURDUE,26,https://www.espn.com/mens-college-basketball/player/_/id/5144147/daniel-jacobsen
C.J. Cox,PURDUE,485,https://www.espn.com/mens-college-basketball/player/_/id/5175591/cj-cox
Caleb Furst,PURDUE,494,https://www.espn.com/mens-college-basketball/player/_/id/4433598/caleb-furst
Myles Colvin,PURDUE,461,https://www.espn.com/mens-college-basketball/player/_/id/4894452/myles-colvin
Camden Heide,PURDUE,531,https://www.espn.com/mens-college-basketball/player/_/id/5105855/camden-heide
Gicarri Harris,PURDUE,427,https://www.espn.com/mens-college-basketball/player/_/id/5101658/gicarri-harris
Raleigh Burgess,PURDUE,177,https://www.espn.com/mens-college-basketball/player/_/id/5061582/raleigh-burgess
Will Berg,PURDUE,111,https://www.espn.com/mens-college-basketball/player/_/id/5105857/will-berg
Brian Waddell,PURDUE,36,https://www.espn.com/mens-college-basketball/player/_/id/4823976/brian-waddell
Sam King,PURDUE,9,https://www.espn.com/mens-college-basketball/player/_/id/5105856/sam-king
Jace Rayl,PURDUE,5,https://www.espn.com/mens-college-basketball/player/_/id/5174804/jace-rayl
Josh Furst,PURDUE,1,https://www.espn.com/mens-college-basketball/player/_/id/5174803/josh-furst
Jack Lusk,PURDUE,6,https://www.espn.com/mens-college-basketball/player/_/id/5239504/jack-lusk
