Player Name,Team,Minutes Played,Player Link
Amarri Monroe,QUINNIPIAC,846,https://www.espn.com/mens-college-basketball/player/_/id/5107321/amarri-monroe
Paul Otieno,QUINNIPIAC,795,https://www.espn.com/mens-college-basketball/player/_/id/5107797/paul-otieno
Jaden Zimmerman,QUINNIPIAC,607,https://www.espn.com/mens-college-basketball/player/_/id/5242908/jaden-zimmerman
Khaden Bennett,QUINNIPIAC,634,https://www.espn.com/mens-college-basketball/player/_/id/5177137/khaden-bennett
Doug Young,QUINNIPIAC,319,https://www.espn.com/mens-college-basketball/player/_/id/5177138/doug-young
Alexis Reyes,QUINNIPIAC,587,https://www.espn.com/mens-college-basketball/player/_/id/4708217/alexis-reyes
Savion Lewis,QUINNIPIAC,562,https://www.espn.com/mens-college-basketball/player/_/id/4398398/savion-lewis
Ryan Mabrey,QUINNIPIAC,401,https://www.espn.com/mens-college-basketball/player/_/id/5108029/ryan-mabrey
Grant Randall,QUINNIPIAC,259,https://www.espn.com/mens-college-basketball/player/_/id/5242905/grant-randall
Spence Wewe,QUINNIPIAC,52,https://www.espn.com/mens-college-basketball/player/_/id/5242907/spence-wewe
Richie Springs,QUINNIPIAC,148,https://www.espn.com/mens-college-basketball/player/_/id/4592905/richie-springs
Quinn Guth,QUINNIPIAC,10,https://www.espn.com/mens-college-basketball/player/_/id/4902535/quinn-guth
Akintola Akinniyi,QUINNIPIAC,6,https://www.espn.com/mens-college-basketball/player/_/id/5242909/akintola-akinniyi
