Player Name,Team,Minutes Played,Player Link
Jarvis Moss,RADFORD,828,https://www.espn.com/mens-college-basketball/player/_/id/4810226/jarvis-moss
Brandon Maclin,RADFORD,801,https://www.espn.com/mens-college-basketball/player/_/id/5241737/brandon-maclin
Truth Harris,RADFORD,619,https://www.espn.com/mens-college-basketball/player/_/id/4703804/truth-harris
Josiah Harris,RADFORD,644,https://www.espn.com/mens-college-basketball/player/_/id/5106607/josiah-harris
David Early,RADFORD,379,https://www.espn.com/mens-college-basketball/player/_/id/4702695/david-early
Zion Walker,RADFORD,306,https://www.espn.com/mens-college-basketball/player/_/id/4873191/zion-walker
Ibu Yamazaki,RADFORD,606,https://www.espn.com/mens-college-basketball/player/_/id/5107514/ibu-yamazaki
TJ NeSmith,RADFORD,379,https://www.espn.com/mens-college-basketball/player/_/id/4908561/tj-nesmith
Isaiah Gaines,RADFORD,592,https://www.espn.com/mens-college-basketball/player/_/id/5106865/isaiah-gaines
Chace Davis,RADFORD,202,https://www.espn.com/mens-college-basketball/player/_/id/4898269/chace-davis
Jonas Sirtautas,RADFORD,161,https://www.espn.com/mens-college-basketball/player/_/id/5176285/jonas-sirtautas
Xavier Foster,RADFORD,86,https://www.espn.com/mens-college-basketball/player/_/id/4432184/xavier-foster
Brennan Chatman,RADFORD,25,https://www.espn.com/mens-college-basketball/player/_/id/5241738/brennan-chatman
Tony Felder,RADFORD,197,https://www.espn.com/mens-college-basketball/player/_/id/5107352/tony-felder
