Player Name,Team,Minutes Played,Player Link
DeLonnie Hunt,RICHMOND,568,https://www.espn.com/mens-college-basketball/player/_/id/4703199/delonnie-hunt
Dusan Neskovic,RICHMOND,685,https://www.espn.com/mens-college-basketball/player/_/id/4702966/dusan-neskovic
Mikkel Tyne,RICHMOND,858,https://www.espn.com/mens-college-basketball/player/_/id/5174629/mikkel-tyne
Jonathan Beagle,RICHMOND,462,https://www.espn.com/mens-college-basketball/player/_/id/5106043/jonathan-beagle
Mike Walz,RICHMOND,554,https://www.espn.com/mens-college-basketball/player/_/id/5105974/mike-walz
Jason Roche,RICHMOND,614,https://www.espn.com/mens-college-basketball/player/_/id/4897373/jason-roche
Apostolos Roumoglou,RICHMOND,663,https://www.espn.com/mens-college-basketball/player/_/id/5105566/apostolos-roumoglou
B. Artis White,RICHMOND,512,https://www.espn.com/mens-college-basketball/player/_/id/4432137/b-artis-white
Collin Tanner,RICHMOND,463,https://www.espn.com/mens-college-basketball/player/_/id/5174628/collin-tanner
Ryan Soulis,RICHMOND,129,https://www.espn.com/mens-college-basketball/player/_/id/5174631/ryan-soulis
George Washington III,RICHMOND,44,https://www.espn.com/mens-college-basketball/player/_/id/4711274/george-washington-iii
Jack D'Entremont,RICHMOND,85,https://www.espn.com/mens-college-basketball/player/_/id/5180826/jack-dentremont
Liam Weaver,RICHMOND,4,https://www.espn.com/mens-college-basketball/player/_/id/4897057/liam-weaver
Jack Graham,RICHMOND,60,https://www.espn.com/mens-college-basketball/player/_/id/5174630/jack-graham
