Player Name,Team,Minutes Played,Player Link
T.J. Weeks Jr.,RIDER,889,https://www.espn.com/mens-college-basketball/player/_/id/4433108/tj-weeks-jr
Jay Alvarez,RIDER,754,https://www.espn.com/mens-college-basketball/player/_/id/5176563/jay-alvarez
Tariq Ingraham,RIDER,723,https://www.espn.com/mens-college-basketball/player/_/id/4431995/tariq-ingraham
Zion Cruz,RIDER,605,https://www.espn.com/mens-college-basketball/player/_/id/5105581/zion-cruz
Flash Burton,RIDER,574,https://www.espn.com/mens-college-basketball/player/_/id/5242911/flash-burton
Ife West-Ingram,RIDER,285,https://www.espn.com/mens-college-basketball/player/_/id/5177145/ife-west-ingram
Tank Byard,RIDER,256,https://www.espn.com/mens-college-basketball/player/_/id/5177534/tank-byard
Ruben Rodriguez,RIDER,583,https://www.espn.com/mens-college-basketball/player/_/id/5177144/ruben-rodriguez
Andre Young,RIDER,277,https://www.espn.com/mens-college-basketball/player/_/id/5106447/andre-young
Tyriek Weeks,RIDER,121,https://www.espn.com/mens-college-basketball/player/_/id/5181770/tyriek-weeks
Alaaeddine Boutayeb,RIDER,85,https://www.espn.com/mens-college-basketball/player/_/id/4901129/alaaeddine-boutayeb
Cole McCabe,RIDER,156,https://www.espn.com/mens-college-basketball/player/_/id/5242913/cole-mccabe
Maurizio D'Alessandro,RIDER,3,https://www.espn.com/mens-college-basketball/player/_/id/5242912/maurizio-dalessandro
Zocko Littleton Jr.,RIDER,84,https://www.espn.com/mens-college-basketball/player/_/id/4683685/zocko-littleton-jr
Jack McFadden,RIDER,6,https://www.espn.com/mens-college-basketball/player/_/id/5107799/jack-mcfadden
