Player Name,Team,Minutes Played,Player Link
Kam Woods,ROBERT MORRIS,844,https://www.espn.com/mens-college-basketball/player/_/id/4702046/kam-woods
Alvaro Folgueiras,ROBERT MORRIS,851,https://www.espn.com/mens-college-basketball/player/_/id/5177211/alvaro-folgueiras
Amarion Dickerson,ROBERT MORRIS,834,https://www.espn.com/mens-college-basketball/player/_/id/5241689/amarion-dickerson
Josh Omojafo,ROBERT MORRIS,820,https://www.espn.com/mens-college-basketball/player/_/id/5241690/josh-omojafo
DJ Smith,ROBERT MORRIS,807,https://www.espn.com/mens-college-basketball/player/_/id/4897215/dj-smith
Ryan Prather Jr.,ROBERT MORRIS,712,https://www.espn.com/mens-college-basketball/player/_/id/5108062/ryan-prather-jr
Antallah Sandlin-El,ROBERT MORRIS,75,https://www.espn.com/mens-college-basketball/player/_/id/5177213/antallah-sandlin-el
Ismael Plet,ROBERT MORRIS,450,https://www.espn.com/mens-college-basketball/player/_/id/4702662/ismael-plet
Dilen Miller,ROBERT MORRIS,297,https://www.espn.com/mens-college-basketball/player/_/id/5241691/dilen-miller
Maurio Hanson Jr.,ROBERT MORRIS,16,https://www.espn.com/mens-college-basketball/player/_/id/5241693/maurio-hanson-jr
Chris Ford,ROBERT MORRIS,188,https://www.espn.com/mens-college-basketball/player/_/id/4897099/chris-ford
Tanner O'Grady,ROBERT MORRIS,6,https://www.espn.com/mens-college-basketball/player/_/id/5106794/tanner-ogrady
