Player Name,Team,Minutes Played,Player Link
Erik Reynolds II,SAINT JOSEPH'S,917,https://www.espn.com/mens-college-basketball/player/_/id/4683952/erik-reynolds-ii
Xzayvier Brown,SAINT JOSEPH'S,853,https://www.espn.com/mens-college-basketball/player/_/id/5174633/xzayvier-brown
Rasheer Fleming,SAINT JOSEPH'S,827,https://www.espn.com/mens-college-basketball/player/_/id/5105977/rasheer-fleming
Derek Simpson,SAINT JOSEPH'S,841,https://www.espn.com/mens-college-basketball/player/_/id/5105858/derek-simpson
Dasear Haskins,SAINT JOSEPH'S,512,https://www.espn.com/mens-college-basketball/player/_/id/5174636/dasear-haskins
Anthony Finkley,SAINT JOSEPH'S,605,https://www.espn.com/mens-college-basketball/player/_/id/5174634/anthony-finkley
Justice Ajogbor,SAINT JOSEPH'S,566,https://www.espn.com/mens-college-basketball/player/_/id/4702962/justice-ajogbor
Steven Solano,SAINT JOSEPH'S,46,https://www.espn.com/mens-college-basketball/player/_/id/5061599/steven-solano
Shawn Simmons II,SAINT JOSEPH'S,157,https://www.espn.com/mens-college-basketball/player/_/id/5174632/shawn-simmons-ii
Mekai Johnson,SAINT JOSEPH'S,78,https://www.espn.com/mens-college-basketball/player/_/id/5239678/mekai-johnson
Will Lange,SAINT JOSEPH'S,15,https://www.espn.com/mens-college-basketball/player/_/id/5174635/will-lange
Billy Rayer,SAINT JOSEPH'S,7,https://www.espn.com/mens-college-basketball/player/_/id/5239677/billy-rayer
