Player Name,Team,Minutes Played,Player Link
Augustas Marciulionis,SAINT MARY'S,1001,https://www.espn.com/mens-college-basketball/player/_/id/4897197/augustas-marciulionis
Paulius Murauskas,SAINT MARY'S,806,https://www.espn.com/mens-college-basketball/player/_/id/5174955/paulius-murauskas
Mitchell Saxen,SAINT MARY'S,848,https://www.espn.com/mens-college-basketball/player/_/id/4701182/mitchell-saxen
Luke Barrett,SAINT MARY'S,1050,https://www.espn.com/mens-college-basketball/player/_/id/4701184/luke-barrett
Mikey Lewis,SAINT MARY'S,465,https://www.espn.com/mens-college-basketball/player/_/id/5240980/mikey-lewis
Jordan Ross,SAINT MARY'S,773,https://www.espn.com/mens-college-basketball/player/_/id/4711402/jordan-ross
Harry Wessels,SAINT MARY'S,313,https://www.espn.com/mens-college-basketball/player/_/id/5105418/harry-wessels
Andrew McKeever,SAINT MARY'S,110,https://www.espn.com/mens-college-basketball/player/_/id/5176481/andrew-mckeever
Ashton Hardaway,SAINT MARY'S,303,https://www.espn.com/mens-college-basketball/player/_/id/4711280/ashton-hardaway
Kevin Gad,SAINT MARY'S,33,https://www.espn.com/mens-college-basketball/player/_/id/5105421/kevin-gad
Joshua Dent,SAINT MARY'S,79,https://www.espn.com/mens-college-basketball/player/_/id/5183875/joshua-dent
Cade Bennett,SAINT MARY'S,71,https://www.espn.com/mens-college-basketball/player/_/id/5105419/cade-bennett
