Player Name,Team,Minutes Played,Player Link
Marcus Randolph,SAINT PETER'S,848,https://www.espn.com/mens-college-basketball/player/_/id/4710356/marcus-randolph
Bryce Eaton,SAINT PETER'S,608,https://www.espn.com/mens-college-basketball/player/_/id/5176176/bryce-eaton
Armoni Zeigler,SAINT PETER'S,691,https://www.espn.com/mens-college-basketball/player/_/id/5177148/armoni-zeigler
Mouhamed Sow,SAINT PETER'S,554,https://www.espn.com/mens-college-basketball/player/_/id/4898259/mouhamed-sow
Adetokunbo Bakare,SAINT PETER'S,338,https://www.espn.com/mens-college-basketball/player/_/id/4590362/adetokunbo-bakare
Zaakir Williamson,SAINT PETER'S,293,https://www.espn.com/mens-college-basketball/player/_/id/4898370/zaakir-williamson
Tyreck Morris,SAINT PETER'S,245,https://www.espn.com/mens-college-basketball/player/_/id/5242915/tyreck-morris
Brent Bland,SAINT PETER'S,98,https://www.espn.com/mens-college-basketball/player/_/id/4898256/brent-bland
Stephon Roberts,SAINT PETER'S,482,https://www.espn.com/mens-college-basketball/player/_/id/5111990/stephon-roberts
Jaquel Morris,SAINT PETER'S,252,https://www.espn.com/mens-college-basketball/player/_/id/5108030/jaquel-morris
Eric Morgan Jr.,SAINT PETER'S,183,https://www.espn.com/mens-college-basketball/player/_/id/5112342/eric-morgan-jr
Jakai Sanders,SAINT PETER'S,140,https://www.espn.com/mens-college-basketball/player/_/id/5242916/jakai-sanders
Elijah Perkins,SAINT PETER'S,92,https://www.espn.com/mens-college-basketball/player/_/id/5106667/elijah-perkins
