Player Name,Team,Minutes Played,Player Link
Trey Fort,SAMFORD,702,https://www.espn.com/mens-college-basketball/player/_/id/4703411/trey-fort
Jaden Brownell,SAMFORD,574,https://www.espn.com/mens-college-basketball/player/_/id/5243241/jaden-brownell
Rylan Jones,SAMFORD,818,https://www.espn.com/mens-college-basketball/player/_/id/4431751/rylan-jones
Collin Holloway,SAMFORD,707,https://www.espn.com/mens-college-basketball/player/_/id/4701559/collin-holloway
Riley Allenspach,SAMFORD,389,https://www.espn.com/mens-college-basketball/player/_/id/4838752/riley-allenspach
Josh Holloway,SAMFORD,646,https://www.espn.com/mens-college-basketball/player/_/id/5176160/josh-holloway
Lukas Walls,SAMFORD,624,https://www.espn.com/mens-college-basketball/player/_/id/5176159/lukas-walls
Julian Brown,SAMFORD,441,https://www.espn.com/mens-college-basketball/player/_/id/5106633/julian-brown
Hamed Olayinka,SAMFORD,335,https://www.espn.com/mens-college-basketball/player/_/id/5176648/hamed-olayinka
Isaiah West,SAMFORD,328,https://www.espn.com/mens-college-basketball/player/_/id/4683784/isaiah-west
Brody Boyer,SAMFORD,65,https://www.espn.com/mens-college-basketball/player/_/id/5107365/brody-boyer
Corey Brown,SAMFORD,4,https://www.espn.com/mens-college-basketball/player/_/id/5243239/corey-brown
Zion Wilburn,SAMFORD,150,https://www.espn.com/mens-college-basketball/player/_/id/5144382/zion-wilburn
Paulie Stramaglia,SAMFORD,53,https://www.espn.com/mens-college-basketball/player/_/id/4897377/paulie-stramaglia
Grayson Walters,SAMFORD,7,https://www.espn.com/mens-college-basketball/player/_/id/4703839/grayson-walters
Joshua Hughes,SAMFORD,4,https://www.espn.com/mens-college-basketball/player/_/id/5107366/joshua-hughes
Thomas Kizer,SAMFORD,4,https://www.espn.com/mens-college-basketball/player/_/id/5176163/thomas-kizer
