Player Name,Team,Minutes Played,Player Link
Nick Boyd,SAN DIEGO STATE,740,https://www.espn.com/mens-college-basketball/player/_/id/4702654/nick-boyd
Miles Byrd,SAN DIEGO STATE,714,https://www.espn.com/mens-college-basketball/player/_/id/5107804/miles-byrd
BJ Davis,SAN DIEGO STATE,586,https://www.espn.com/mens-college-basketball/player/_/id/5176241/bj-davis
Magoon Gwath,SAN DIEGO STATE,625,https://www.espn.com/mens-college-basketball/player/_/id/5176240/magoon-gwath
Jared Coleman-Jones,SAN DIEGO STATE,577,https://www.espn.com/mens-college-basketball/player/_/id/4702730/jared-coleman-jones
Wayne McKinney III,SAN DIEGO STATE,465,https://www.espn.com/mens-college-basketball/player/_/id/4897202/wayne-mckinney-iii
Taj DeGourville,SAN DIEGO STATE,482,https://www.espn.com/mens-college-basketball/player/_/id/4873147/taj-degourville
Pharaoh Compton,SAN DIEGO STATE,320,https://www.espn.com/mens-college-basketball/player/_/id/5061584/pharaoh-compton
Miles Heide,SAN DIEGO STATE,345,https://www.espn.com/mens-college-basketball/player/_/id/5176243/miles-heide
Kimo Ferrari,SAN DIEGO STATE,111,https://www.espn.com/mens-college-basketball/player/_/id/4702980/kimo-ferrari
Demarshay Johnson Jr.,SAN DIEGO STATE,49,https://www.espn.com/mens-college-basketball/player/_/id/4897531/demarshay-johnson-jr
Ryan Schwarz,SAN DIEGO STATE,13,https://www.espn.com/mens-college-basketball/player/_/id/5176242/ryan-schwarz
Cam Lawin,SAN DIEGO STATE,12,https://www.espn.com/mens-college-basketball/player/_/id/5107803/cam-lawin
Desai Lopez,SAN DIEGO STATE,11,https://www.espn.com/mens-college-basketball/player/_/id/5183181/desai-lopez
