Player Name,Team,Minutes Played,Player Link
Kjay Bradley Jr.,SAN DIEGO,556,https://www.espn.com/mens-college-basketball/player/_/id/5240999/kjay-bradley-jr
Steven Jamerson II,SAN DIEGO,635,https://www.espn.com/mens-college-basketball/player/_/id/5105417/steven-jamerson-ii
Tony Duckett,SAN DIEGO,604,https://www.espn.com/mens-college-basketball/player/_/id/5241001/tony-duckett
Santiago Trouet,SAN DIEGO,753,https://www.espn.com/mens-college-basketball/player/_/id/5176444/santiago-trouet
Kody Clouet,SAN DIEGO,548,https://www.espn.com/mens-college-basketball/player/_/id/4906515/kody-clouet
Joey Chammaa,SAN DIEGO,405,https://www.espn.com/mens-college-basketball/player/_/id/5176449/joey-chammaa
Bendji Pierre,SAN DIEGO,483,https://www.espn.com/mens-college-basketball/player/_/id/5105414/bendji-pierre
Keyon Kensie Jr.,SAN DIEGO,89,https://www.espn.com/mens-college-basketball/player/_/id/5176451/keyon-kensie-jr
Deven Dahlke,SAN DIEGO,553,https://www.espn.com/mens-college-basketball/player/_/id/4703095/deven-dahlke
David Simon,SAN DIEGO,214,https://www.espn.com/mens-college-basketball/player/_/id/5176447/david-simon
Kean Webb,SAN DIEGO,326,https://www.espn.com/mens-college-basketball/player/_/id/5241003/kean-webb
Dragos Lungu,SAN DIEGO,115,https://www.espn.com/mens-college-basketball/player/_/id/5176445/dragos-lungu
Colby Brooks,SAN DIEGO,151,https://www.espn.com/mens-college-basketball/player/_/id/4702883/colby-brooks
Gavin Ripp,SAN DIEGO,76,https://www.espn.com/mens-college-basketball/player/_/id/5241002/gavin-ripp
Neel Beniwal,SAN DIEGO,74,https://www.espn.com/mens-college-basketball/player/_/id/5105415/neel-beniwal
Chas Lewless,SAN DIEGO,16,https://www.espn.com/mens-college-basketball/player/_/id/5241000/chas-lewless
Dominic Muncey,SAN DIEGO,128,https://www.espn.com/mens-college-basketball/player/_/id/4897203/dominic-muncey
Nick Del Bosque,SAN DIEGO,6,https://www.espn.com/mens-college-basketball/player/_/id/5241005/nick-del-bosque
Jackson Gaffney,SAN DIEGO,69,https://www.espn.com/mens-college-basketball/player/_/id/5241004/jackson-gaffney
