Player Name,Team,Minutes Played,Player Link
Malik Thomas,SAN FRANCISCO,866,https://www.espn.com/mens-college-basketball/player/_/id/4683758/malik-thomas
Marcus Williams,SAN FRANCISCO,881,https://www.espn.com/mens-college-basketball/player/_/id/4703400/marcus-williams
Tyrone Riley IV,SAN FRANCISCO,807,https://www.espn.com/mens-college-basketball/player/_/id/5037875/tyrone-riley-iv
Carlton Linguard Jr.,SAN FRANCISCO,639,https://www.espn.com/mens-college-basketball/player/_/id/4700533/carlton-linguard-jr
Ndewedo Newbury,SAN FRANCISCO,267,https://www.espn.com/mens-college-basketball/player/_/id/4875213/ndewedo-newbury
Ryan Beasley,SAN FRANCISCO,596,https://www.espn.com/mens-college-basketball/player/_/id/5176425/ryan-beasley
Junjie Wang,SAN FRANCISCO,512,https://www.espn.com/mens-college-basketball/player/_/id/5176426/junjie-wang
Jason Rivera-Torres,SAN FRANCISCO,241,https://www.espn.com/mens-college-basketball/player/_/id/5174288/jason-rivera-torres
James O'Donnell,SAN FRANCISCO,387,https://www.espn.com/mens-college-basketball/player/_/id/5241061/james-odonnell
Robby Beasley,SAN FRANCISCO,282,https://www.espn.com/mens-college-basketball/player/_/id/4432435/robby-beasley
Veniamin Abosi,SAN FRANCISCO,257,https://www.espn.com/mens-college-basketball/player/_/id/5241062/veniamin-abosi
Saba Gigiberia,SAN FRANCISCO,49,https://www.espn.com/mens-college-basketball/player/_/id/4433208/saba-gigiberia
Drew Ardouin,SAN FRANCISCO,13,https://www.espn.com/mens-college-basketball/player/_/id/5241064/drew-ardouin
Karl Poom,SAN FRANCISCO,27,https://www.espn.com/mens-college-basketball/player/_/id/5248277/karl-poom
