Player Name,Team,Minutes Played,Player Link
Adama-Alpha Bal,SANTA CLARA,824,https://www.espn.com/mens-college-basketball/player/_/id/4896365/adama-alpha-bal
Carlos Stewart Jr.,SANTA CLARA,840,https://www.espn.com/mens-college-basketball/player/_/id/4683956/carlos-stewart-jr
Christoph Tilly,SANTA CLARA,599,https://www.espn.com/mens-college-basketball/player/_/id/5109790/christoph-tilly
Elijah Mahi,SANTA CLARA,648,https://www.espn.com/mens-college-basketball/player/_/id/5241069/elijah-mahi
Tyeree Bryan,SANTA CLARA,717,https://www.espn.com/mens-college-basketball/player/_/id/5108120/tyeree-bryan
Johnny O'Neil,SANTA CLARA,638,https://www.espn.com/mens-college-basketball/player/_/id/4702481/johnny-oneil
Camaron Tongue,SANTA CLARA,423,https://www.espn.com/mens-college-basketball/player/_/id/4684310/camaron-tongue
Brenton Knapper,SANTA CLARA,399,https://www.espn.com/mens-college-basketball/player/_/id/4897209/brenton-knapper
Jake Ensminger,SANTA CLARA,553,https://www.espn.com/mens-college-basketball/player/_/id/5109789/jake-ensminger
Kosy Akametu,SANTA CLARA,117,https://www.espn.com/mens-college-basketball/player/_/id/5109787/kosy-akametu
Luke McEldon,SANTA CLARA,9,https://www.espn.com/mens-college-basketball/player/_/id/5176362/luke-mceldon
Bukky Oboye,SANTA CLARA,98,https://www.espn.com/mens-college-basketball/player/_/id/5176361/bukky-oboye
Brendan Yarusso,SANTA CLARA,6,https://www.espn.com/mens-college-basketball/player/_/id/5109791/brendan-yarusso
Malachi Douyon,SANTA CLARA,2,https://www.espn.com/mens-college-basketball/player/_/id/5109788/malachi-douyon
