Player Name,Team,Minutes Played,Player Link
Sam Hines Jr.,SE LOUISIANA,915,https://www.espn.com/mens-college-basketball/player/_/id/4702687/sam-hines-jr
Jakevion Buckley,SE LOUISIANA,849,https://www.espn.com/mens-college-basketball/player/_/id/5108082/jakevion-buckley
Jeremy Elyzee,SE LOUISIANA,721,https://www.espn.com/mens-college-basketball/player/_/id/5243102/jeremy-elyzee
Brody Rowbury,SE LOUISIANA,735,https://www.espn.com/mens-college-basketball/player/_/id/5108917/brody-rowbury
Kam Burton,SE LOUISIANA,463,https://www.espn.com/mens-college-basketball/player/_/id/5176674/kam-burton
Carlos Paez,SE LOUISIANA,501,https://www.espn.com/mens-college-basketball/player/_/id/4433055/carlos-paez
Jaiden Lawrence,SE LOUISIANA,366,https://www.espn.com/mens-college-basketball/player/_/id/5243105/jaiden-lawrence
CJ Booker,SE LOUISIANA,127,https://www.espn.com/mens-college-basketball/player/_/id/5176658/cj-booker
Kyle Edison,SE LOUISIANA,277,https://www.espn.com/mens-college-basketball/player/_/id/5243104/kyle-edison
Thomas Tut,SE LOUISIANA,231,https://www.espn.com/mens-college-basketball/player/_/id/5107805/thomas-tut
Ahmed Essahaty,SE LOUISIANA,218,https://www.espn.com/mens-college-basketball/player/_/id/5124659/ahmed-essahaty
Asher Boney,SE LOUISIANA,109,https://www.espn.com/mens-college-basketball/player/_/id/5176676/asher-boney
Max Brackmann,SE LOUISIANA,53,https://www.espn.com/mens-college-basketball/player/_/id/4594150/max-brackmann
Ryan Elzy,SE LOUISIANA,62,https://www.espn.com/mens-college-basketball/player/_/id/5243106/ryan-elzy
