Player Name,Team,Minutes Played,Player Link
Matthew-Alexander Moncrieffe,SEATTLE U,651,https://www.espn.com/mens-college-basketball/player/_/id/4610395/matthew-alexander-moncrieffe
John Christofilis,SEATTLE U,680,https://www.espn.com/mens-college-basketball/player/_/id/4433606/john-christofilis
Paris Dawson,SEATTLE U,596,https://www.espn.com/mens-college-basketball/player/_/id/4702138/paris-dawson
Brayden Maldonado,SEATTLE U,555,https://www.espn.com/mens-college-basketball/player/_/id/5241342/brayden-maldonado
Kobe Williamson,SEATTLE U,309,https://www.espn.com/mens-college-basketball/player/_/id/4702017/kobe-williamson
Maleek Arington,SEATTLE U,754,https://www.espn.com/mens-college-basketball/player/_/id/5107830/maleek-arington
DaSean Stevens,SEATTLE U,352,https://www.espn.com/mens-college-basketball/player/_/id/5241343/dasean-stevens
Houran Dan,SEATTLE U,302,https://www.espn.com/mens-college-basketball/player/_/id/5241344/houran-dan
Malek Gomma,SEATTLE U,333,https://www.espn.com/mens-college-basketball/player/_/id/5177717/malek-gomma
Eric Zheng,SEATTLE U,1,https://www.espn.com/mens-college-basketball/player/_/id/5241348/eric-zheng
Viktor Rajkovic,SEATTLE U,161,https://www.espn.com/mens-college-basketball/player/_/id/4702014/viktor-rajkovic
Vasja Pandza,SEATTLE U,272,https://www.espn.com/mens-college-basketball/player/_/id/4702010/vasja-pandza
Will Heimbrodt,SEATTLE U,234,https://www.espn.com/mens-college-basketball/player/_/id/5177716/will-heimbrodt
