Player Name,Team,Minutes Played,Player Link
Isaiah Coleman,SETON HALL,797,https://www.espn.com/mens-college-basketball/player/_/id/4884257/isaiah-coleman
Chaunce Jenkins,SETON HALL,490,https://www.espn.com/mens-college-basketball/player/_/id/4701236/chaunce-jenkins
Dylan Addae-Wusu,SETON HALL,532,https://www.espn.com/mens-college-basketball/player/_/id/4590361/dylan-addae-wusu
Prince Aligbe,SETON HALL,574,https://www.espn.com/mens-college-basketball/player/_/id/4609653/prince-aligbe
Scotty Middleton,SETON HALL,513,https://www.espn.com/mens-college-basketball/player/_/id/4711279/scotty-middleton
Garwey Dual,SETON HALL,597,https://www.espn.com/mens-college-basketball/player/_/id/5077373/garwey-dual
Jahseem Felton,SETON HALL,350,https://www.espn.com/mens-college-basketball/player/_/id/4873098/jahseem-felton
Yacine Toumi,SETON HALL,412,https://www.espn.com/mens-college-basketball/player/_/id/4702598/yacine-toumi
David Tubek,SETON HALL,230,https://www.espn.com/mens-college-basketball/player/_/id/5113182/david-tubek
Godswill Erheriene,SETON HALL,360,https://www.espn.com/mens-college-basketball/player/_/id/5101686/godswill-erheriene
Emmanuel Okorafor,SETON HALL,199,https://www.espn.com/mens-college-basketball/player/_/id/5125176/emmanuel-okorafor
Gus Yalden,SETON HALL,203,https://www.espn.com/mens-college-basketball/player/_/id/4685686/gus-yalden
Zion Harmon,SETON HALL,14,https://www.espn.com/mens-college-basketball/player/_/id/4432641/zion-harmon
David Gabriel,SETON HALL,4,https://www.espn.com/mens-college-basketball/player/_/id/5114229/david-gabriel
