Player Name,Team,Minutes Played,Player Link
Boopie Miller,SMU,681,https://www.espn.com/mens-college-basketball/player/_/id/4898283/boopie-miller
Chuck Harris,SMU,696,https://www.espn.com/mens-college-basketball/player/_/id/4701551/chuck-harris
Matt Cross,SMU,753,https://www.espn.com/mens-college-basketball/player/_/id/4433563/matt-cross
Samet Yigitoglu,SMU,592,https://www.espn.com/mens-college-basketball/player/_/id/5238184/samet-yigitoglu
Kario Oquendo,SMU,597,https://www.espn.com/mens-college-basketball/player/_/id/4896463/kario-oquendo
B.J. Edwards,SMU,785,https://www.espn.com/mens-college-basketball/player/_/id/5105552/bj-edwards
Yohan Traore,SMU,415,https://www.espn.com/mens-college-basketball/player/_/id/4869741/yohan-traore
Keon Ambrose-Hylton,SMU,336,https://www.espn.com/mens-college-basketball/player/_/id/4702178/keon-ambrose-hylton
Jerrell Colbert,SMU,243,https://www.espn.com/mens-college-basketball/player/_/id/4433273/jerrell-colbert
AJ George,SMU,118,https://www.espn.com/mens-college-basketball/player/_/id/4897668/aj-george
Tibet Gorener,SMU,174,https://www.espn.com/mens-college-basketball/player/_/id/4702371/tibet-gorener
Jackson Young,SMU,5,https://www.espn.com/mens-college-basketball/player/_/id/4702529/jackson-young
Trey Utter,SMU,3,https://www.espn.com/mens-college-basketball/player/_/id/5106638/trey-utter
