Player Name,Team,Minutes Played,Player Link
Barry Dunning Jr.,SOUTH ALABAMA,940,https://www.espn.com/mens-college-basketball/player/_/id/4683675/barry-dunning-jr
Myles Corey,SOUTH ALABAMA,898,https://www.espn.com/mens-college-basketball/player/_/id/4706260/myles-corey
Judah Brown,SOUTH ALABAMA,627,https://www.espn.com/mens-college-basketball/player/_/id/4433193/judah-brown
Elijah Ormiston,SOUTH ALABAMA,448,https://www.espn.com/mens-college-basketball/player/_/id/5106457/elijah-ormiston
JJ Wheat,SOUTH ALABAMA,593,https://www.espn.com/mens-college-basketball/player/_/id/5240643/jj-wheat
Dylan Fasoyiro,SOUTH ALABAMA,501,https://www.espn.com/mens-college-basketball/player/_/id/5240642/dylan-fasoyiro
John Broom,SOUTH ALABAMA,837,https://www.espn.com/mens-college-basketball/player/_/id/5176682/john-broom
Randy Brady,SOUTH ALABAMA,469,https://www.espn.com/mens-college-basketball/player/_/id/4433611/randy-brady
Jayden Cooper,SOUTH ALABAMA,335,https://www.espn.com/mens-college-basketball/player/_/id/5240641/jayden-cooper
Cantia Rahming,SOUTH ALABAMA,284,https://www.espn.com/mens-college-basketball/player/_/id/5240640/cantia-rahming
Caleb Kizer,SOUTH ALABAMA,15,https://www.espn.com/mens-college-basketball/player/_/id/4706147/caleb-kizer
Julian Margrave,SOUTH ALABAMA,5,https://www.espn.com/mens-college-basketball/player/_/id/5106459/julian-margrave
